code,num_per_ages
203096,[]
17997,[]
181925,"['2%', '44%', '30%', '15%', '9%']"
195979,[]
138113,[]
197517,"['0%', '100%', '0%', '0%', '0%']"
155356,"['6%', '61%', '19%', '10%', '4%']"
168668,"['0%', '39%', '22%', '11%', '28%']"
156023,[]
151155,[]
143776,"['0%', '38%', '31%', '15%', '15%']"
168735,"['0%', '33%', '17%', '28%', '22%']"
142683,"['1%', '41%', '29%', '15%', '13%']"
199742,[]
167675,"['0%', '0%', '100%', '0%', '0%']"
151241,"['6%', '42%', '31%', '8%', '12%']"
154667,"['3%', '47%', '29%', '16%', '5%']"
164269,"['0%', '0%', '62%', '38%', '0%']"
159366,"['3%', '41%', '39%', '13%', '3%']"
162874,"['0%', '38%', '38%', '16%', '9%']"
158180,"['3%', '47%', '25%', '19%', '7%']"
167638,"['4%', '52%', '24%', '14%', '6%']"
180209,"['1%', '33%', '32%', '24%', '10%']"
161834,"['0%', '50%', '50%', '0%', '0%']"
172454,"['5%', '61%', '22%', '9%', '3%']"
158112,"['6%', '52%', '21%', '16%', '6%']"
167651,"['2%', '38%', '30%', '21%', '8%']"
164192,"['2%', '50%', '26%', '15%', '7%']"
171744,[]
143422,"['25%', '50%', '25%', '0%', '0%']"
130811,"['50%', '25%', '0%', '25%', '0%']"
195980,[]
168749,"['10%', '63%', '21%', '4%', '2%']"
142210,"['0%', '39%', '17%', '28%', '17%']"
159892,"['3%', '51%', '24%', '16%', '6%']"
164150,"['0%', '0%', '0%', '100%', '0%']"
158191,"['4%', '44%', '26%', '18%', '7%']"
194581,[]
142255,"['1%', '48%', '30%', '15%', '6%']"
199262,[]
194416,[]
190313,[]
179338,"['0%', '0%', '0%', '100%', '0%']"
190244,"['0%', '67%', '33%', '0%', '0%']"
193100,[]
190341,[]
177332,"['0%', '33%', '33%', '0%', '33%']"
188765,"['9%', '9%', '45%', '27%', '9%']"
190723,[]
182348,"['4%', '39%', '34%', '12%', '12%']"
194398,[]
181114,"['14%', '55%', '18%', '9%', '4%']"
183854,"['1%', '37%', '33%', '21%', '9%']"
191591,[]
186342,[]
200586,[]
198329,[]
202353,[]
191633,"['4%', '18%', '43%', '31%', '3%']"
200582,[]
194723,[]
196525,[]
189141,"['6%', '49%', '25%', '14%', '6%']"
192146,"['0%', '33%', '33%', '33%', '0%']"
201218,[]
110026,[]
201669,[]
199869,[]
168972,[]
10676,"['0%', '41%', '30%', '19%', '11%']"
196581,[]
200746,[]
185935,[]
194195,[]
164956,"['0%', '83%', '17%', '0%', '0%']"
195757,[]
199236,[]
173418,[]
11003,[]
96984,"['0%', '100%', '0%', '0%', '0%']"
95473,"['0%', '100%', '0%', '0%', '0%']"
183839,[]
42869,[]
168019,"['4%', '64%', '20%', '0%', '12%']"
159863,"['19%', '56%', '19%', '6%', '0%']"
37370,[]
62341,[]
179399,"['0%', '50%', '50%', '0%', '0%']"
185150,"['0%', '80%', '13%', '7%', '0%']"
171455,"['0%', '50%', '17%', '33%', '0%']"
180385,"['67%', '33%', '0%', '0%', '0%']"
174530,"['0%', '21%', '38%', '29%', '12%']"
198607,[]
200575,[]
199406,"['0%', '60%', '0%', '20%', '20%']"
192898,[]
179307,"['4%', '55%', '25%', '10%', '5%']"
177508,"['0%', '46%', '39%', '8%', '7%']"
177400,[]
175393,"['2%', '32%', '34%', '22%', '11%']"
189001,"['2%', '50%', '27%', '12%', '9%']"
166092,"['4%', '42%', '25%', '20%', '9%']"
193970,"['25%', '25%', '50%', '0%', '0%']"
107204,[]
200784,[]
154672,"['1%', '9%', '57%', '31%', '2%']"
190729,[]
191677,"['0%', '67%', '0%', '0%', '33%']"
198749,[]
