code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages,scores_per_age_genders,num_per_ages_genders,scores_per_ages,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
181925,클로젯,387.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,7.93,8.41,"[8.75, 7.75, 8.17, 8.79, 8.63]","[58, 42]","[2, 44, 30, 15, 9]","[5.08, 3.67, 4.5, 3.25, 4.74, 3.43, 5.1, 3.69, 5.01, 3.62]","[1.16, 0.84, 25.52, 18.48, 17.4, 12.6, 8.7, 6.3, 5.22, 3.78]","[0.17, 3.85, 2.62, 1.31, 0.79, 0.15, 3.41, 2.33, 1.16, 0.7, 0.16, 3.59, 2.45, 1.23, 0.74, 0.18, 3.87, 2.64, 1.32, 0.79, 0.17, 3.8, 2.59, 1.29, 0.78]",5.08,3.67,4.5,3.25,4.74,3.43,5.1,3.69,5.01,3.62,1.16,0.84,25.52,18.48,17.4,12.6,8.7,6.3,5.22,3.78,0.17,3.41,2.45,1.32,0.78
197517,마리오네트,2.0,이 영화는 40대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.0,0.0,"[0.0, 9.0, 0.0, 0.0, 0.0]","[100, 21]","[0, 100, 0, 0, 0]","[0.0, 0.0, 9.0, 1.89, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 100.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,9.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
155356,미쓰백,1355.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.98,9.42,"[9.58, 9.37, 9.08, 9.04, 8.38]","[36, 64]","[6, 61, 19, 10, 4]","[3.45, 6.13, 3.37, 6.0, 3.27, 5.81, 3.25, 5.79, 3.02, 5.36]","[2.16, 3.84, 21.96, 39.04, 6.84, 12.16, 3.6, 6.4, 1.44, 2.56]","[0.57, 5.84, 1.82, 0.96, 0.38, 0.56, 5.72, 1.78, 0.94, 0.37, 0.54, 5.54, 1.73, 0.91, 0.36, 0.54, 5.51, 1.72, 0.9, 0.36, 0.5, 5.11, 1.59, 0.84, 0.34]",3.45,6.13,3.37,6.0,3.27,5.81,3.25,5.79,3.02,5.36,2.16,3.84,21.96,39.04,6.84,12.16,3.6,6.4,1.44,2.56,0.57,5.72,1.73,0.9,0.34
168668,올드마린보이,18.0,이 영화는 40대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,9.0,8.8,"[0.0, 8.86, 9.25, 9.5, 8.4]","[44, 56]","[0, 39, 22, 11, 28]","[0.0, 0.0, 3.9, 4.96, 4.07, 5.18, 4.18, 5.32, 3.7, 4.7]","[0.0, 0.0, 17.16, 21.84, 9.68, 12.32, 4.84, 6.16, 12.32, 15.68]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.46, 1.95, 0.97, 2.48, 0.0, 3.61, 2.04, 1.02, 2.59, 0.0, 3.71, 2.09, 1.04, 2.66, 0.0, 3.28, 1.85, 0.92, 2.35]",0.0,0.0,3.9,4.96,4.07,5.18,4.18,5.32,3.7,4.7,0.0,0.0,17.16,21.84,9.68,12.32,4.84,6.16,12.32,15.68,0.0,3.46,2.04,1.04,2.35
143776,영혼의 순례길,13.0,"이 영화는 40대 남성이 좋아하는 영상미, 스토리가 뛰어난 영화입니다.",9.0,8.75,"[0.0, 9.0, 9.0, 10.0, 7.0]","[38, 62]","[0, 38, 31, 15, 15]","[0.0, 0.0, 3.42, 5.58, 3.42, 5.58, 3.8, 6.2, 2.66, 4.34]","[0.0, 0.0, 14.44, 23.56, 11.78, 19.22, 5.7, 9.3, 5.7, 9.3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.42, 2.79, 1.35, 1.35, 0.0, 3.42, 2.79, 1.35, 1.35, 0.0, 3.8, 3.1, 1.5, 1.5, 0.0, 2.66, 2.17, 1.05, 1.05]",0.0,0.0,3.42,5.58,3.42,5.58,3.8,6.2,2.66,4.34,0.0,0.0,14.44,23.56,11.78,19.22,5.7,9.3,5.7,9.3,0.0,3.42,2.79,1.5,1.05
168735,새벽의 약속,18.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.5,8.71,"[0.0, 9.0, 9.33, 8.8, 8.5]","[22, 78]","[0, 33, 17, 28, 22]","[0.0, 0.0, 1.98, 7.02, 2.05, 7.28, 1.94, 6.86, 1.87, 6.63]","[0.0, 0.0, 7.26, 25.74, 3.74, 13.26, 6.16, 21.84, 4.84, 17.16]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.97, 1.53, 2.52, 1.98, 0.0, 3.08, 1.59, 2.61, 2.05, 0.0, 2.9, 1.5, 2.46, 1.94, 0.0, 2.81, 1.45, 2.38, 1.87]",0.0,0.0,1.98,7.02,2.05,7.28,1.94,6.86,1.87,6.63,0.0,0.0,7.26,25.74,3.74,13.26,6.16,21.84,4.84,17.16,0.0,2.97,1.59,2.46,1.87
142683,호밀밭의 반항아,142.0,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,8.71,9.13,"[9.5, 9.29, 8.59, 9.09, 9.05]","[25, 75]","[1, 41, 29, 15, 13]","[2.38, 7.12, 2.32, 6.97, 2.15, 6.44, 2.27, 6.82, 2.26, 6.79]","[0.25, 0.75, 10.25, 30.75, 7.25, 21.75, 3.75, 11.25, 3.25, 9.75]","[0.1, 3.9, 2.75, 1.43, 1.24, 0.09, 3.81, 2.69, 1.39, 1.21, 0.09, 3.52, 2.49, 1.29, 1.12, 0.09, 3.73, 2.64, 1.36, 1.18, 0.09, 3.71, 2.62, 1.36, 1.18]",2.38,7.12,2.32,6.97,2.15,6.44,2.27,6.82,2.26,6.79,0.25,0.75,10.25,30.75,7.25,21.75,3.75,11.25,3.25,9.75,0.1,3.81,2.49,1.36,1.18
167675,루키스,1.0,"이 영화는 10대 여성이 좋아하는 연출, 연기가 뛰어난 영화입니다.",1.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[100, 24]","[0, 0, 100, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.24, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 24.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151241,머니백,64.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,6.69,8.12,"[4.75, 6.96, 7.3, 7.8, 9.0]","[61, 39]","[6, 42, 31, 8, 12]","[2.9, 1.85, 4.25, 2.71, 4.45, 2.85, 4.76, 3.04, 5.49, 3.51]","[3.66, 2.34, 25.62, 16.38, 18.91, 12.09, 4.88, 3.12, 7.32, 4.68]","[0.28, 2.0, 1.47, 0.38, 0.57, 0.42, 2.92, 2.16, 0.56, 0.84, 0.44, 3.07, 2.26, 0.58, 0.88, 0.47, 3.28, 2.42, 0.62, 0.94, 0.54, 3.78, 2.79, 0.72, 1.08]",2.9,1.85,4.25,2.71,4.45,2.85,4.76,3.04,5.49,3.51,3.66,2.34,25.62,16.38,18.91,12.09,4.88,3.12,7.32,4.68,0.28,2.92,2.26,0.62,1.08
154667,덕구,265.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.12,9.4,"[10.0, 9.23, 9.46, 9.14, 9.08]","[36, 64]","[3, 47, 29, 16, 5]","[3.6, 6.4, 3.32, 5.91, 3.41, 6.05, 3.29, 5.85, 3.27, 5.81]","[1.08, 1.92, 16.92, 30.08, 10.44, 18.56, 5.76, 10.24, 1.8, 3.2]","[0.3, 4.7, 2.9, 1.6, 0.5, 0.28, 4.34, 2.68, 1.48, 0.46, 0.28, 4.45, 2.74, 1.51, 0.47, 0.27, 4.3, 2.65, 1.46, 0.46, 0.27, 4.27, 2.63, 1.45, 0.45]",3.6,6.4,3.32,5.91,3.41,6.05,3.29,5.85,3.27,5.81,1.08,1.92,16.92,30.08,10.44,18.56,5.76,10.24,1.8,3.2,0.3,4.34,2.74,1.46,0.45
