code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages,scores_per_age_genders,num_per_ages_genders,scores_per_ages
203096,걸스 오브 막시,,,,,[],[],[],[],[],[]
17997,첨밀밀,,,,,[],[],[],[],[],[]
181925,클로젯,387.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,7.93,8.41,"[8.75, 7.75, 8.17, 8.79, 8.63]","[58, 42]","[2, 44, 30, 15, 9]","[5.08, 3.67, 4.5, 3.25, 4.74, 3.43, 5.1, 3.69, 5.01, 3.62]","[1.16, 0.84, 25.52, 18.48, 17.4, 12.6, 8.7, 6.3, 5.22, 3.78]","[0.17, 3.85, 2.62, 1.31, 0.79, 0.15, 3.41, 2.33, 1.16, 0.7, 0.16, 3.59, 2.45, 1.23, 0.74, 0.18, 3.87, 2.64, 1.32, 0.79, 0.17, 3.8, 2.59, 1.29, 0.78]"
195979,비밀경찰: 랍스터 캅,,,,,[],[],[],[],[],[]
138113,매직 아워,,,,,[],[],[],[],[],[]
197517,마리오네트,2.0,이 영화는 40대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.0,0.0,"[0.0, 9.0, 0.0, 0.0, 0.0]","[100, 21]","[0, 100, 0, 0, 0]","[0.0, 0.0, 9.0, 1.89, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 100.0, 21.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
155356,미쓰백,1355.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.98,9.42,"[9.58, 9.37, 9.08, 9.04, 8.38]","[36, 64]","[6, 61, 19, 10, 4]","[3.45, 6.13, 3.37, 6.0, 3.27, 5.81, 3.25, 5.79, 3.02, 5.36]","[2.16, 3.84, 21.96, 39.04, 6.84, 12.16, 3.6, 6.4, 1.44, 2.56]","[0.57, 5.84, 1.82, 0.96, 0.38, 0.56, 5.72, 1.78, 0.94, 0.37, 0.54, 5.54, 1.73, 0.91, 0.36, 0.54, 5.51, 1.72, 0.9, 0.36, 0.5, 5.11, 1.59, 0.84, 0.34]"
168668,올드마린보이,18.0,이 영화는 40대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,9.0,8.8,"[0.0, 8.86, 9.25, 9.5, 8.4]","[44, 56]","[0, 39, 22, 11, 28]","[0.0, 0.0, 3.9, 4.96, 4.07, 5.18, 4.18, 5.32, 3.7, 4.7]","[0.0, 0.0, 17.16, 21.84, 9.68, 12.32, 4.84, 6.16, 12.32, 15.68]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.46, 1.95, 0.97, 2.48, 0.0, 3.61, 2.04, 1.02, 2.59, 0.0, 3.71, 2.09, 1.04, 2.66, 0.0, 3.28, 1.85, 0.92, 2.35]"
156023,오디너리 피플,,,,,[],[],[],[],[],[]
151155,아웃도어 비긴즈,,,,,[],[],[],[],[],[]
