code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages
203096,걸스 오브 막시,,,,,[],[],[]
17997,첨밀밀,,,,,[],[],[]
181925,클로젯,387,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,7.93,8.41,"[8.75, 7.75, 8.17, 8.79, 8.63]","[58, 42]","[2, 44, 30, 15, 9]"
195979,비밀경찰: 랍스터 캅,,,,,[],[],[]
138113,매직 아워,,,,,[],[],[]
197517,마리오네트,2,이 영화는 40대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9,0,"[0.0, 9.0, 0.0, 0.0, 0.0]","[100, 21]","[0, 100, 0, 0, 0]"
155356,미쓰백,1355,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.98,9.42,"[9.58, 9.37, 9.08, 9.04, 8.38]","[36, 64]","[6, 61, 19, 10, 4]"
168668,올드마린보이,18,이 영화는 40대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,9,8.8,"[0.0, 8.86, 9.25, 9.5, 8.4]","[44, 56]","[0, 39, 22, 11, 28]"
156023,오디너리 피플,,,,,[],[],[]
151155,아웃도어 비긴즈,,,,,[],[],[]
143776,영혼의 순례길,13,"이 영화는 40대 남성이 좋아하는 영상미, 스토리가 뛰어난 영화입니다.",9,8.75,"[0.0, 9.0, 9.0, 10.0, 7.0]","[38, 62]","[0, 38, 31, 15, 15]"
168735,새벽의 약속,18,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.5,8.71,"[0.0, 9.0, 9.33, 8.8, 8.5]","[22, 78]","[0, 33, 17, 28, 22]"
142683,호밀밭의 반항아,142,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,8.71,9.13,"[9.5, 9.29, 8.59, 9.09, 9.05]","[25, 75]","[1, 41, 29, 15, 13]"
199742,더 리턴,,,,,[],[],[]
