code,korean_title,english_title,genre_list,country,released_date,director,actors
203096,걸스 오브 막시,moxie,['드라마'],['미국'],,에이미 포엘러,"['조세핀 랭포드', ' 패트릭 슈왈제네거더보기']"
17997,첨밀밀,comradesalmostalovestory,"['멜로/로맨스', '드라마']",['홍콩'], 1997.03.01,진가신,"['여명(소군)', ' 장만옥(이요)더보기']"
181925,클로젯,thecloset,"['미스터리', '드라마']",['한국'], 2020.02.05,김광빈,"['하정우(상원)', ' 김남길(경훈)', ' 허율(이나)더보기']"
195979,비밀경찰: 랍스터 캅,lobstercop,"['액션', '코미디']",['중국'],,이흔운,"['왕첸웬', ' 원산산', ' 류화더보기']"
138113,매직 아워,magichour,['범죄'],['미국'],,콜 뮐러,"['트레버 모건(레이)', ' 크리스 렘세(딜런 폭스)', ' 윌리엄 러스(브루스 폭스)더보기']"
197517,마리오네트,marionette,"['미스터리', '스릴러']",['네덜란드'], 2021.02.17,엘버트 반 스트리엔,"['테크라 레우텐', ' 피터 뮬란', ' 엘리야 울프더보기']"
155356,미쓰백,missbaek,['드라마'],['한국'], 2018.10.11,이지원,"['한지민(백상아)', ' 김시아(김지은)', ' 이희준(장섭)더보기']"
168668,올드마린보이,oldmarineboy,['다큐멘터리'],['한국'], 2017.11.02,진모영,"['박명호(본인)', ' 김순희(본인)', ' 박철준(본인)더보기']"
156023,오디너리 피플,ordinarypeople,['드라마'],['필리핀'],,에두아르도 로이 주니어,['하스민 킬립(제인)더보기']
151155,아웃도어 비긴즈,outdoorbegins,"['코미디', '스릴러', '공포']",['한국'], 2018.05.21,임진승,"['조덕제(춘배)', ' 영건(병구)', ' 연송하(유미)더보기']"
143776,영혼의 순례길,pathsofthesoul,"['드라마', '다큐멘터리']",['중국'], 2018.05.24,장양,['\n\r\n\t\t\t\t\t\t[국내] \r\n\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t전체 관람가\n\n']
168735,새벽의 약속,promiseatdawn,"['드라마', '멜로/로맨스', '가족']","['프랑스', '벨기에']", 2018.11.22,에릭 바르비에,"['샤를로뜨 갱스부르(니나 카체프)', ' 피에르 니네이(로맹 가리)더보기']"
142683,호밀밭의 반항아,rebelintherye,['드라마'],['미국'], 2018.10.18,대니 스트롱,"['니콜라스 홀트(제리 샐린저)', ' 조이 도이치(우나 오닐)', ' 사라 폴슨(도로시 올딩)더보기']"
199742,더 리턴,thereturn,['공포'],['캐나다'],,BJ 베롯,['리처드 하몬더보기']
167675,루키스,therookies,['액션'],['중국'], 2020.05.20,원금린,"['밀라 요보비치(브루스)', ' 왕대륙(펑)', ' 장용용(먀오)더보기']"
151241,머니백,snatchup,"['액션', '드라마']",['한국'], 2018.04.12,허준형,"['김무열(민재)', ' 박희순(최형사)', ' 이경영(킬러 박)더보기']"
154667,덕구,standbyme,['드라마'],['한국'], 2018.04.05,방수인,"['이순재(덕구할배)', ' 정지훈(덕구)더보기']"
164269,토이무비: 미래대모험,teapets,['애니메이션'],['중국'], 2018.10.03,게리 왕,"['남도형', ' 윤아영', ' 서원석더보기']"
159366,호랑이보다 무서운 겨울손님,atigerinwinter,"['멜로/로맨스', '드라마']",['한국'], 2018.04.12,이광국,"['이진욱(경유)', ' 고현정(유정)더보기']"
162874,원더스트럭,wonderstruck,['드라마'],['미국'], 2018.05.03,토드 헤인즈,"['줄리안 무어(릴리언 메이휴)', ' 오크스 페글리(벤)', ' 밀리센트 시몬스(로즈)더보기']"
158180,그것만이 내 세상,keystotheheart,"['코미디', '드라마']",['한국'], 2018.01.17,최성현,"['이병헌(김조하)', ' 윤여정(주인숙)', ' 박정민(오진태)더보기']"
167638,완벽한 타인,intimatestrangers,"['드라마', '코미디']",['한국'], 2018.10.31,이재규,"['유해진(태수)', ' 조진웅(석호)', ' 이서진(준모)더보기']"
180209,기방도령,hommefatale,['코미디'],['한국'], 2019.07.10,남대중,"['준호(허색)', ' 정소민(해원)', ' 최귀화(육갑)더보기']"
161834,해피뻐스데이,happybusday,"['드라마', '코미디']",['한국'], 2017.11.09,이승원,"['서갑숙(엄마)', ' 김선영(선영)더보기']"
172454,곤지암,gonjiamhauntedasylum,"['공포', '미스터리']",['한국'], 2018.03.28,정범식,"['위하준(하준)', ' 박지현(지현)', ' 오아연(아연)더보기']"
158112,골든슬럼버,goldenslumber,"['범죄', '드라마']",['한국'], 2018.02.14,노동석,"['강동원(김건우/실리콘)', ' 김의성(민씨)', ' 한효주(전선영)더보기']"
167651,극한직업,extremejob,['코미디'],['한국'], 2019.01.23,이병헌,"['류승룡(고반장)', ' 이하늬(장형사)', ' 진선규(마형사)더보기']"
164192,국가부도의 날,default,['드라마'],['한국'], 2018.11.28,최국희,"['김혜수(한시현)', ' 유아인(윤정학)', ' 허준호(갑수)더보기']"
171744,팩트 살인,criticsized,"['액션', '범죄', '스릴러']",['미국'], 2017.12.28,칼 T. 에반스,"['칼럼 블루', ' 커 스미스', ' 제임스 카이슨 리더보기']"
143422,소통과 거짓말,communicationlies,['드라마'],['한국'], 2017.11.09,이승원,"['장선(여자)', ' 김권후(남자)더보기']"
130811,클로버,clover,"['멜로/로맨스', '코미디']",['일본'], 2017.11.29,후루사와 켄,"['타케이 에미(스즈키 사야)', ' 오쿠라 타다요시(츠게 스스무)더보기']"
195980,대인물,thebigshot,"['범죄', '액션', '코미디']",['중국'],,오백,"['왕첸웬(쑨따셩)', ' 포패이(자오타이)더보기']"
168749,죄 많은 소녀,aftermydeath,"['드라마', '미스터리']",['한국'], 2018.09.13,김의석,"['전여빈(영희)', ' 서영화(경민모)', ' 고원희(한솔)더보기']"
142210,역모 - 반란의 시대,theageofblood,['액션'],['한국'], 2017.11.23,김홍선,"['정해인(김호)', ' 김지훈(이인좌)', ' 이원종(만석)더보기']"
159892,탐정: 리턴즈,theaccidentaldetective2inaction,"['코미디', '범죄']",['한국'], 2018.06.13,이언희,"['권상우(강대만)', ' 성동일(노태수)', ' 이광수(여치형)더보기']"
164150,12피트,12feetdeep,['스릴러'],['미국'], 2018.11.08,맷 에스카다리,"['노라 제인 눈(브리)', ' 알렉산드라 파크(조나)더보기']"
158191,1987,1987whenthedaycomes,['드라마'],['한국'], 2017.12.27,장준환,"['김윤석(박처장)', ' 하정우(공안부장)', ' 유해진(한병용)더보기']"
194581,엔터 더 팻 드래곤,enterthefatdragon,"['액션', '코미디']",['홍콩'],,타니가키 켄지,"['견자단', ' 왕정', ' 모순균더보기']"
142255,걸 온 더 트레인,thegirlonthetrain,"['미스터리', '스릴러']",['미국'], 2017.03.09,테이트 테일러,"['에밀리 블런트(레이첼)', ' 헤일리 베넷(메건)', ' 루크 에반스(스캇)더보기']"
199262,클래스메이트 마이너스,classmatesminus,['드라마'],['대만'],,신 야오 후앙,['이웬 첸더보기']
194416,맨슨 패밀리,themansonfamilymassacre,['공포'],"['영국', '미국']", 2020.06.02,앤드류 존스,"['브렌디 그린(마고)', ' 시아란 데이비스(찰스 맨슨)더보기']"
190313,황비홍 - 왕의 귀환,returnofthekinghuangfeihong,['액션'],['중국'],,곽옥룡,"['허경천(황비홍)', ' 임신(십삼이)더보기']"
179338,10년,tenyearsjapan,['드라마'],['일본'], 2019.12.12,"하야카와 치에, 키노시타 유스케, 츠노 메구미","['스기사키 하나', ' 쿠니무라 준', ' 이케와키 치즈루더보기']"
190244,러브 앳,loveatsecondsight,"['멜로/로맨스', '코미디']","['프랑스', '벨기에']", 2019.11.27,위고 젤랭,"['프랑수아 시빌(라파엘)', ' 조세핀 자피(올리비아)더보기']"
193100,리버레이션: 천진 대전투,liberation,['드라마'],['중국'],,"상효양, 이소홍","['주일위', ' 종초희', ' 종한량더보기']"
190341,황비홍 - 전설의 묵룡도를 찾아서,thekingisinvincible,['액션'],['중국'],,"구신우, 흑자","['설강도(황비홍)', ' 마요요(소균/십삼이)', ' 양건룡(귀각칠)더보기']"
177332,쁘띠 아만다,amanda,['드라마'],['프랑스'], 2019.06.27,미카엘 허스,"['벵상 라코스테(다비드)', ' 이조르 뮐트리에(아만다)', ' 스테이시 마틴(레나)더보기']"
188765,문신을 한 신부님,corpuschristi,['드라마'],"['폴란드', '프랑스']", 2020.02.13,얀 코마사,['바르토시 비엘레니아(다니엘)더보기']
190723,더 포토그래프,thephotograph,"['드라마', '멜로/로맨스']",['미국'],,스텔라 메기,"['키스 스탠필드', ' 첼시 퍼레티더보기']"
182348,로망,romang,['멜로/로맨스'],['한국'], 2019.04.03,이창근,"['이순재(조남봉)', ' 정영숙(이매자)', ' 조한철(조진수)더보기']"
194398,판타스틱 썸머,summer03,"['드라마', '멜로/로맨스']",['미국'], 2020.06.25,베카 글리슨,['조이 킹(제이미)더보기']
181114,날씨의 아이,weatheringwithyou,['애니메이션'],['일본'],2021.09.092020.05.21 2019.10.30,신카이 마코토,"['심규혁(호다카)', ' 김유림(히나)', ' 최한(스가)더보기']"
183854,죽지않는 인간들의 밤,nightoftheundead,"['코미디', '스릴러']",['한국'], 2020.09.29,신정원,"['이정현(소희)', ' 김성오(만길)', ' 서영희(세라)더보기']"
191591,뉴스 오브 더 월드,newsoftheworld,"['액션', '모험', '드라마']",['미국'],,폴 그린그래스,"['톰 행크스(키드 대위)', ' 헬레나 젱겔(조한나)', ' 척우디 이우지(찰스 엣지필드)더보기']"
186342,승리호,spacesweepers,['SF'],['한국'],,조성희,"['송중기(태호)', ' 김태리(장선장 (장현숙))', ' 진선규(타이거 박 (박경수))더보기']"
200586,맬컴과 마리,malcolmmarie,['드라마'],['미국'],,샘 레빈슨,"['젠데이아 콜먼', ' 존 데이비드 워싱턴더보기']"
198329,고독의 맛,littlebigwomen,['드라마'],['대만'],,조셉 수,"['비비안 수', ' 진숙방', ' 잉-슈안 쉐이더보기']"
202353,음양사 : 청아집,theyinyangmasterdreamofeternity,"['액션', '모험', 'SF', '판타지']",['중국'],,궈징밍,['등륜더보기']
191633,트롤: 월드 투어,trollsworldtour,"['애니메이션', '모험', '코미디', '가족', '판타지', '뮤지컬']",['미국'], 2020.04.29,"월트 도른, 데이빗 P. 스미스","['안나 켄드릭', ' 저스틴 팀버레이크더보기']"
200582,더 디그,thedig,['드라마'],['영국'],,사이몬 스톤,"['캐리 멀리건', ' 랄프 파인즈더보기']"
194723,더 히든,youshouldhaveleft,"['드라마', '공포', '미스터리']",['미국'],,데이빗 코엡,"['케빈 베이컨', ' 아만다 사이프리드더보기']"
196525,펭귄 블룸,penguinbloom,['드라마'],['오스트레일리아'],,글렌딘 어빈,"['나오미 왓츠', ' 앤드류 링컨', ' 레이첼 하우스더보기']"
189141,삼진그룹 영어토익반,samjincompanyenglishclass,['드라마'],['한국'], 2020.10.21,이종필,"['고아성(이자영)', ' 이솜(정유나)', ' 박혜수(심보람)더보기']"
192146,헌트,thehunt,"['액션', '공포', '스릴러']",['미국'], 2020.04.23,크레이그 조벨,['베티 길핀(크리스탈)더보기']
201218,화이트 타이거,thewhitetiger,"['범죄', '드라마']","['인도', '미국']",,라민 바흐러니,"['아르다시 구라브', ' 라지쿠마르 야다브', ' 프리앙카 초프라더보기']"
110026,더 배터리,thebattery,['판타지'],['미국'],,제레미 가드너,"['제레미 가드너(벤)', ' 아담 크론헤임(미키)', ' 니엘스 볼르(제리)더보기']"
201669,아웃사이드 더 와이어,outsidethewire,"['액션', '모험', '판타지']",['미국'],,미카엘 하프스트롬,"['안소니 마키', ' 댐슨 이드리스더보기']"
199869,위시유,wishyou,['드라마'],['한국'],,성도준,"['강인수', ' 이상', ' 백서빈더보기']"
168972,해피니스 로드,onhappinessroad,"['애니메이션', '가족', '드라마']",['대만'],,신인성,"['계륜미(린슈치 목소리)', ' 웨이 더솅(웬 목소리)더보기']"
10676,타이페이 스토리,taipeistory,['드라마'],['대만'], 2019.11.07,에드워드 양,"['허우 샤오시엔(아룽)', ' 채금(수첸)더보기']"
196581,그녀의 조각들,piecesofawoman,['드라마'],['미국'],,코르넬 문드럭초,"['바네사 커비', ' 샤이아 라보프', ' 엘렌 버스틴더보기']"
200746,토니파커: 마지막 슛,tonyparkerthefinalshot,['다큐멘터리'],['프랑스'],,플로랑 보댕,['\n\r\n\t\t\t\t\t\t[국내] \r\n\t\t\t\t\t\t\r\n\t\t\t\t\t\t\t12세 관람가\n\n']
185935,좀비 워,zombiepura,"['액션', '공포']",['싱가포르'],,제이슨 탄,['알라릭 테이더보기']
194195,차인표,whathappenedtomrcha,['코미디'],['한국'], 2021.01.01,김동규,"['차인표(차인표)', ' 조달환(김아람)', ' 송재룡(주사)더보기']"
164956,틴 스피릿,teenspirit,['드라마'],['미국'], 2019.09.04,맥스 밍겔라,['엘르 패닝(바이올렛)더보기']
195757,마이티 오크: 다시 만난밴드,mightyoak,['드라마'],['미국'],,숀 맥나마라,"['자넬 패리쉬(지나)', ' 토미 라겐(오크)더보기']"
199236,더 로프 커스 2,theropecurse2,['공포'],['대만'],,료 시한,"['이강생', ' 베라 첸더보기']"
173418,캅스 앤 로버스,copsandrobbers,"['범죄', '액션']",['미국'],,스콧 윈드하우저,"['마이클 제이 화이트', ' 퀸튼 잭슨', ' 톰 베린저더보기']"
11003,천장지구,amomentofromance,"['액션', '드라마', '멜로/로맨스']",['홍콩'], 1990.10.13,진목승,"['유덕화(아화)', ' 오천련(죠죠)더보기']"
96984,누구의 딸도 아닌 해원,nobodysdaughterhaewon,['드라마'],['한국'], 2013.02.28,홍상수,"['이선균(성준)', ' 정은채(해원)', ' 김의성(중원)더보기']"
95473,고양이를 빌려드립니다,rentacat,"['드라마', '코미디']",['일본'], 2012.12.13,오기가미 나오코,"['이치카와 미카코(사요코)', ' 쿠사무라 레이코(요시오카)', ' 미츠이시 켄(요시다)더보기']"
183839,태극권,taichiwarriors,['액션'],['홍콩'], 2019.04.25,양돈평,"['강대위', ' 진호민', ' 장염빙더보기']"
42869,거북이는 의외로 빨리 헤엄친다,turtlesswimfasterthanexpected,['코미디'],['일본'], 2006.10.19,미키 사토시,"['우에노 주리(스즈메)', ' 아오이 유우(쿠자쿠)더보기']"
168019,리지,lizzie,"['범죄', '드라마', '미스터리', '스릴러']",['미국'], 2019.01.10,크레이그 맥닐,"['크리스틴 스튜어트(브리짓 설리번)', ' 클로에 세비니(리지 보든)더보기']"
159863,라플라스의 마녀,laplaceswitch,"['미스터리', '스릴러']",['일본'], 2019.05.09,미이케 다카시,"['사쿠라이 쇼(아오에 슈스케)', ' 히로세 스즈(우하라 마도카)', ' 후쿠시 소우타(아마카스 켄토)더보기']"
37370,쌍웅,heroicduo,"['액션', '느와르']",['홍콩'], 2003.10.10,진목승,"['여명', ' 정이건더보기']"
62341,상성: 상처받은 도시,confessionofpain,"['범죄', '액션', '스릴러']",['홍콩'], 2007.05.31,"유위강, 맥조휘","['양조위(유정희)', ' 금성무(아방)', ' 서기더보기']"
179399,기도하는 남자,pray,"['드라마', '범죄']",['한국'],2021.03.24 2020.02.20,강동헌,"['박혁권', ' 류현경', ' 남기애더보기']"
185150,이장,movethegrave,['드라마'],['한국'], 2020.03.25,정승오,"['장리우(혜영)', ' 이선희(금옥)', ' 공민정(금희)더보기']"
171455,하이 라이프,highlife,"['SF', '스릴러']","['영국', '프랑스', '독일']", 2019.10.30,클레어 드니,"['로버트 패틴슨(몬테)', ' 줄리엣 비노쉬(딥스)', ' 미아 고스(보이스)더보기']"
