old_index,title,release_date,series_or_movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image,korean_title,english_title,num_of_netizen
58,Miss Baek,2018-10-11,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,missbaek,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRN8pRScrbI4_pfun7KQdah8Cj-o8g2erBo4EuGSPzcNynBD-XkWSC67gDdZrtL3mPUaENU5NH3l3T6WwbPg9dzXjA.jpg?r=a54,미쓰백,missbaek,8671
74,Keys To The Heart,2018-01-26,Movie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keystotheheart,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRbFw-Te0EQ4Xuva03luk_sW4C3tBxJpqZST2J5pIVjOGAYbyNg4GY7DO90-n3lTHXnUVn-eJr99zr-fnkSYEPyt9A.jpg?r=25c,그것만이 내 세상,keystotheheart,15829
75,Intimate Strangers,2004-09-03,Movie,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intimatestrangers,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbPuiZUIyySIY_Q9dzy_4XRqGTkp1-eDAg7OxyjqHuYaQes1R_mRTWOBf4GZzSnwWr-zoouYrgwZknvtQQw8ooc-tw.jpg?r=832,완벽한 타인,intimatestrangers,23874
78,Gonjiam  Haunted Asylum,2018-03-28,Movie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,gonjiamhauntedasylum,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQIFZyT1ECJvasQDzij2y3rt7hCFRdkkcP_4KCtH7wiRK_YTaTTQC_RWT3SJZXlFsjNggYB41-qkcjvXdrlLO-Criw.jpg?r=312,곤지암,gonjiamhauntedasylum,16845
79,Golden Slumber,2010-01-30,Movie,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goldenslumber,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVdjRFHyZ9u8T9gDHE8GQs5fT0tcbV2SGbagdNUaoHB0MA5sfFDG8qrEeuo5Javfoc5IiNttCFnFWvj16CA2hyjy1w.jpg?r=bae,골든슬럼버,goldenslumber,9609
80,Extreme Job,2019-06-21,Movie,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,extremejob,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXq2et4bjVAKcs3OfgiPBIzCNkBQYMx19f_EokjuFz_U6yzLK_pnicslRt-lElkJpPh_Y52yYp6--4QGDAFBROLNew.jpg?r=713,극한직업,extremejob,47554
81,Default,2018-11-28,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYsqGiT9BR1ZX4olvlXrmtXPMpK9A01qHWTrHXDjC5_f7oPzP_Aj4Gv4q5avnY2-F-fZjKR9w21yWePQ7uFBokBsWw.jpg?r=59a,국가부도의 날,default,14744
90,The Accidental Detective 2  In Action,2018-06-22,Movie,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theaccidentaldetective2inaction,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaHCjN-6B-wAcoCj9gnfYN2JM4X84Hr2sjzRcH-96qVn0e7F-9NmwackNzxSXlLcu9CfZK8Ar5Un5FhBXrc40GfsMA.jpg?r=489,탐정: 리턴즈,theaccidentaldetective2inaction,10084
92,1987  When the Day Comes,2018-01-12,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987whenthedaycomes,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ4s5_1TWOC5V3oq5XD7jPijHsiW42SvEym4xH8MZ6lR_2SsQXJNeHbZxbysrTxwMtj1acNLBcg6luD_xCGqN20jvw.jpg?r=837,1987,1987whenthedaycomes,33657
190,Space Sweepers,2021-02-05,Movie,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spacesweepers,https://occ-0-4039-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc29R8hCxhVgs6jKH76299hgQOdUTdP-ajCbkUMBmDbgLbLqn2QWC7WVX0QLBAx--u0bSM-iRJPUm_tCE4RvBiSw1s3C8u10tQQ4_oJzPmCnwsUDmQ1COrit5OY.jpg?r=1de,승리호,spacesweepers,7672
