old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
14331,Inception,2010-07-16,Movie,"['액션', '모험', 'SF', '스릴러']",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYDAY7Malaj4klMEjUvy1YC7O6JXaUodaDIW2xyYs_huUch4quAuREHvGe6VlIj6o1K3THeI7eKXlBDuS6a-JZH7sw.jpg?r=d87,2072912
14633,Shutter Island,2010-02-19,Movie,"['미스터리', '스릴러']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGqtG3E7xXSvF7TMN6gzYTA-ygo9utELjEnaHAm_-5csdbRyj9cGZqVd8-ZYTuwAuWyuUuq3agPj-pYrV9RjDAyPQ.jpg?r=850,1137284
14086,Memento,2001-05-25,Movie,"['미스터리', '스릴러']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXg2UWKRwv3lIMRU4fBLsu3TFRshTBCCUS_c-rWUIkREvzKUpbVsXtIuJWDtykz6IcyhOhsj9JltB8qfuOaTrFUkyg.jpg?r=4ce,1127675
14741,Back to the Future,1985-07-03,Movie,"['모험', '코미디', 'SF']",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1348-1347.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX8AN_0v-MMCns2Mg6EybmvhBXp-XQuC064tHHvwYM2mAW8I4NRFEL1XHKnXH1noz3pWDAajwxEIIY3n9suHnFJlXw.jpg?r=db2,1061275
10884,Deadpool,2016-02-12,Movie,"['액션', '모험', '코미디', 'SF']",0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU7hrzylZeNWL1ZmlP8NCdV3Gvx2EGo9E4trhveMEAlsTw43Nd7zD_N8UAlNWu4uOaxramtQ035QNmGpLsJJ3-QUXA.jpg?r=b21,904840
11183,Stranger Things,2016-07-15,Series,"['드라마', '판타지', '공포', '미스터리', 'SF', '스릴러']",1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTL65qyo8vAVdBubGEaZO30gWLpk__rJa7dph61nnnfga7WNoKBixHuV7SEU6-XP9rh-NnCMd6z35UntYvOfE0Biw9GiO3p7NO6x0h_XRD5KawPqcD-ol4_GyfU.jpg?r=594,827162
14136,The Pianist,2003-03-28,Movie,"['전기', '드라마', '음악', '전쟁']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQPnnhThPWr_u19ajFlcYkYA3CXs7rzNkhZY53-6449ewtY1liJ0XxIUjEf5Gw6c43gpRXAUm00LbKc10WSmSMEBiw.jpg?r=91c,733787
12381,The Imitation Game,2014-12-25,Movie,"['전기', '드라마', '스릴러', '전쟁']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaGlgKMAFK_dElr4Nmr5rqCjMmD5KRdQqa5gPR7xFlBXxoJ0wKvMLIkhtHTAi1yA704mlzCdpv6qQbzLcjlPVt_4kA.jpg?r=74b,686497
14277,The Social Network,2010-10-01,Movie,"['전기', '드라마']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX5C0Txb7xW0IIiGayKFAAh4AcrBlHGRswHFvFTfJOvVOFHWDyhbXP5O4jr7tl15PmFIeRW3dGXaap3fNap7kj8XUQ.jpg?r=a68,626530
5450,"Its Okay, Buddy",2017-09-08,Movie,['공포'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRRuumKZ-pKbX3CgRpu7lgLpfB6rM3QRpYpryp_Z7ut2td2Xlb_Gfu5iVgUsl-k6kmoTxGAdq6lv-R3oYw3BMn-3Bw.jpg?r=f53,460854
