,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image
4,Moxie,2011-09-22,Movie,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,moxie,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABb72YCHDSHzrB8i5_iG56UFm-qV2bslRyMHIqZ4tmlIpeVtMsqAyUem6JAxXtV4Ec9jlA4EpTdf5tNX2ivyLUwmPy4d3xowFdJE63MPXbWu8kAnc-j9qhAZrmMI.jpg?r=fad
27,Comrades  Almost a Love Story,1996-11-02,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,comradesalmostalovestory,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSEIllKFaCWQgeDMBxLfPCVosg_2Qc5WIjNRdUO8Dg08515ToaiU8uy3CtqOJwCXGpyjv1p1bQRn_Q_uCBIxCDostA.jpg?r=bf4
28,The Closet,2001-08-10,Movie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thecloset,https://occ-0-395-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVQSpoTkZ1zFLtdAsNOUvkFxbwJdOqu7TjHJpnSWYWSEhRWZCaeKv8b9icqqFr1vJFPCC6973kAxhK9pXRN659mkFA.jpg?r=fab
53,The Bold Type,2017-06-20,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theboldtype,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbufuI9tCbu6nsorLe_lv6A7heZSIGe4tBUVIKiexia0bYhJK6XMCE27pLY0BZgGgcJqoq2U8OQR_grLUSR7FQUCaQ.jpg?r=ca5
55,Lobster Cop,2018-06-22,Movie,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lobstercop,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbilFDVa-rYFGZGwx0BDGryTRyWTapyfWsDpkqZbjF3poCBgRrcVdr-iiArLxS7zirC2pyAmczQubCEonesCdddjjQ.jpg?r=e79
56,Magic hour,,Movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,magichour,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR2fLjxYMwLDxmjA8QcsBqL_oZ8aRqai090NVmD6BV9xvzK24UC8xE2qOQH_u4Dhy2zeI1LvJDoLDMzZQ8aCRUdnfA.jpg?r=ba2
57,Marionette,2020-09-19,Movie,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,marionette,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbycjQpmt0AsRGzi0nXrzE0mix0UqFi6mLCWqOcoTlz8ZKqsvjK6b5v6pjsC4Fu34HgTWVf-AI6P2XXfJTV_fqErPQ.jpg?r=b9b
58,Miss Baek,2018-10-11,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,missbaek,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRN8pRScrbI4_pfun7KQdah8Cj-o8g2erBo4EuGSPzcNynBD-XkWSC67gDdZrtL3mPUaENU5NH3l3T6WwbPg9dzXjA.jpg?r=a54
59,Old Marine Boy,,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,oldmarineboy,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY2GzdQdPtg9szKxgN83Zp2BnIyqheP2ia6ph9wW5G6AxvAFIYhQJuRpKf4JmwbteGgm0JAgdyZWlYsORvBabhdYEg.jpg?r=dd0
60,Ordinary People,1980-09-19,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ordinarypeople,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXmZsvgOX6yQRCwO5iMcvEk8ujsYjo0vxl9JDrfuvOioX9GXMUI0ZzZK0SMzHk4Aah8DRjlulbRz_g-w79dPP1ZTjg.jpg?r=692
