,code,korean_title,num_of_audience,scores_10s,score_20s,score_30s,score_40s,score_50_up,num_of_male,num_of_female,num_of_10s,num_of_20s,num_of_30s,num_of_40s,num_of_50_up
2,181925,클로젯,387.0,8.75,7.75,8.17,8.79,8.63,224,163,8,170,116,58,35
5,197517,마리오네트,2.0,0.0,9.0,0.0,0.0,0.0,2,0,0,2,0,0,0
6,155356,미쓰백,1355.0,9.58,9.37,9.08,9.04,8.38,488,867,81,827,257,136,54
7,168668,올드마린보이,18.0,0.0,8.86,9.25,9.5,8.4,8,10,0,7,4,2,5
10,143776,영혼의 순례길,13.0,0.0,9.0,9.0,10.0,7.0,5,8,0,5,4,2,2
11,168735,새벽의 약속,18.0,0.0,9.0,9.33,8.8,8.5,4,14,0,6,3,5,4
12,142683,호밀밭의 반항아,142.0,9.5,9.29,8.59,9.09,9.05,36,106,1,58,41,21,18
14,167675,루키스,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0
15,151241,머니백,64.0,4.75,6.96,7.3,7.8,9.0,39,25,4,27,20,5,8
16,154667,덕구,265.0,10.0,9.23,9.46,9.14,9.08,95,170,8,125,77,42,13
17,164269,토이무비: 미래대모험,8.0,0.0,0.0,8.0,6.33,0.0,3,5,0,0,5,3,0
18,159366,호랑이보다 무서운 겨울손님,61.0,7.5,7.36,7.67,9.12,8.5,16,45,2,25,24,8,2
19,162874,원더스트럭,32.0,0.0,6.08,8.0,8.6,6.33,9,23,0,12,12,5,3
20,158180,그것만이 내 세상,5432.0,9.22,9.15,9.15,9.2,9.25,2444,2988,163,2553,1358,1032,380
21,167638,완벽한 타인,9479.0,9.32,9.21,9.01,8.81,8.74,3981,5498,379,4929,2275,1327,569
22,180209,기방도령,159.0,10.0,7.12,7.69,6.24,6.81,59,100,2,52,51,38,16
23,161834,해피뻐스데이,2.0,0.0,10.0,9.0,0.0,0.0,1,1,0,1,1,0,0
24,172454,곤지암,2457.0,7.78,7.71,7.26,6.71,7.25,1327,1130,123,1499,541,221,74
25,158112,골든슬럼버,926.0,5.98,6.01,6.55,6.46,7.1,398,528,56,482,194,148,56
26,167651,극한직업,15986.0,9.42,9.32,9.22,9.09,8.82,7194,8792,320,6075,4796,3357,1279
27,164192,국가부도의 날,2927.0,9.19,8.93,8.61,8.4,8.06,1610,1317,59,1464,761,439,205
29,143422,소통과 거짓말,4.0,8.0,8.0,10.0,0.0,0.0,1,3,1,2,1,0,0
30,130811,클로버,4.0,10.0,10.0,0.0,4.0,0.0,4,0,2,1,0,1,0
32,168749,죄 많은 소녀,174.0,8.24,8.42,8.16,8.43,9.33,71,103,17,110,37,7,3
33,142210,역모 - 반란의 시대,18.0,0.0,5.71,6.67,7.0,8.33,6,12,0,7,3,5,3
34,159892,탐정: 리턴즈,3681.0,9.41,9.14,8.84,8.78,8.75,1620,2061,110,1877,883,589,221
35,164150,12피트,1.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0,0,1,0
36,158191,1987,10178.0,9.45,9.28,9.3,9.39,9.3,5089,5089,407,4478,2646,1832,712
38,142255,걸 온 더 트레인,81.0,8.0,7.28,7.38,7.5,7.8,36,45,1,39,24,12,5
42,179338,10년,1.0,0.0,0.0,0.0,9.0,0.0,1,0,0,0,0,1,0
43,190244,러브 앳,3.0,0.0,10.0,10.0,0.0,0.0,3,0,0,2,1,0,0
46,177332,쁘띠 아만다,6.0,0.0,9.0,8.5,0.0,8.5,2,4,0,2,2,0,2
47,188765,문신을 한 신부님,11.0,8.0,8.0,8.8,7.0,10.0,7,4,1,1,5,3,1
49,182348,로망,83.0,9.33,9.31,8.89,8.8,8.2,35,48,3,32,28,10,10
51,181114,날씨의 아이,789.0,8.91,8.42,7.9,8.2,8.55,552,237,110,434,142,71,32
52,183854,죽지않는 인간들의 밤,179.0,9.0,9.02,8.24,9.14,9.12,98,81,2,66,59,38,16
58,191633,트롤: 월드 투어,99.0,10.0,8.78,8.37,8.55,8.0,28,71,4,18,43,31,3
62,189141,삼진그룹 영어토익반,699.0,9.68,9.06,8.85,8.95,9.02,280,419,42,343,175,98,42
63,192146,헌트,3.0,0.0,9.0,7.0,8.0,0.0,2,1,0,1,1,1,0
69,10676,타이페이 스토리,27.0,0.0,8.36,8.25,8.8,8.33,15,12,0,11,8,5,3
74,164956,틴 스피릿,6.0,0.0,8.0,8.0,0.0,0.0,6,0,0,5,1,0,0
79,96984,누구의 딸도 아닌 해원,6.0,0.0,9.0,0.0,0.0,0.0,3,3,0,6,0,0,0
80,95473,고양이를 빌려드립니다,1.0,0.0,5.0,0.0,0.0,0.0,1,0,0,1,0,0,0
83,168019,리지,25.0,8.0,7.88,6.0,0.0,8.67,6,19,1,16,5,0,3
84,159863,라플라스의 마녀,16.0,5.67,7.11,9.0,2.0,0.0,4,12,3,9,3,1,0
87,179399,기도하는 남자,2.0,0.0,10.0,7.0,0.0,0.0,1,1,0,1,1,0,0
88,185150,이장,15.0,0.0,9.08,10.0,7.0,0.0,5,10,0,12,2,1,0
89,171455,하이 라이프,6.0,0.0,7.0,1.0,8.0,0.0,3,3,0,3,1,2,0
90,180385,니나 내나,3.0,7.5,9.0,0.0,0.0,0.0,2,1,2,1,0,0,0
91,174530,시민 노무현,24.0,0.0,9.6,9.56,9.43,10.0,6,18,0,5,9,7,3
94,199406,미드나이트 스카이,5.0,0.0,6.67,0.0,8.0,10.0,5,0,0,3,0,1,1
96,179307,벌새,967.0,9.51,8.91,8.93,9.2,8.92,280,687,39,532,242,97,48
97,177508,강변호텔,114.0,0.0,7.77,7.78,8.22,6.25,63,51,0,52,44,9,8
99,175393,국제수사,179.0,6.0,7.07,7.17,7.74,6.95,88,91,4,57,61,39,20
100,189001,인비저블맨,329.0,8.8,8.73,8.96,9.0,8.77,184,145,7,164,89,39,30
101,166092,PMC: 더 벙커,1168.0,6.57,6.51,6.62,6.46,6.5,642,526,47,491,292,234,105
102,193970,더 프롬,4.0,10.0,10.0,8.0,0.0,0.0,1,3,1,1,2,0,0
105,154672,"안녕, 티라노: 영원히, 함께",163.0,9.0,9.0,8.52,8.63,8.67,34,129,2,15,93,51,3
107,191677,엠마,3.0,0.0,7.5,0.0,0.0,8.0,3,0,0,2,0,0,1
109,191585,맹크,15.0,0.0,7.44,7.17,0.0,0.0,11,4,0,9,6,0,0
112,180025,해치지않아,402.0,6.0,7.06,7.45,7.71,7.04,177,225,8,145,113,113,24
113,152385,꾼,4320.0,8.7,8.35,8.17,8.28,8.37,2203,2117,173,2290,950,648,259
114,153620,치즈인더트랩,121.0,7.29,7.15,8.73,6.86,9.2,31,90,7,80,22,7,5
117,179875,비스트,269.0,8.33,7.92,8.34,8.32,8.79,194,75,3,102,81,59,24
118,198754,힐빌리의 노래,6.0,0.0,10.0,9.33,10.0,8.0,2,4,0,1,3,1,1
