,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
0,203096.0,,,,,,,,,,
1,17997.0,,,,,,,,,,
2,181925.0,1.16,0.84,25.52,18.48,17.4,12.6,8.7,6.3,5.22,3.78
3,195979.0,,,,,,,,,,
4,138113.0,,,,,,,,,,
5,197517.0,0.0,0.0,100.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
6,155356.0,2.16,3.84,21.96,39.04,6.84,12.16,3.6,6.4,1.44,2.56
7,168668.0,0.0,0.0,17.16,21.84,9.68,12.32,4.84,6.16,12.32,15.68
8,156023.0,,,,,,,,,,
9,151155.0,,,,,,,,,,
10,143776.0,0.0,0.0,14.44,23.56,11.78,19.22,5.7,9.3,5.7,9.3
11,168735.0,0.0,0.0,7.26,25.74,3.74,13.26,6.16,21.84,4.84,17.16
12,142683.0,0.25,0.75,10.25,30.75,7.25,21.75,3.75,11.25,3.25,9.75
13,199742.0,,,,,,,,,,
14,167675.0,0.0,0.0,0.0,0.0,100.0,24.0,0.0,0.0,0.0,0.0
15,151241.0,3.66,2.34,25.62,16.38,18.91,12.09,4.88,3.12,7.32,4.68
16,154667.0,1.08,1.92,16.92,30.08,10.44,18.56,5.76,10.24,1.8,3.2
17,164269.0,0.0,0.0,0.0,0.0,23.56,38.44,14.44,23.56,0.0,0.0
18,159366.0,0.78,2.22,10.66,30.34,10.14,28.86,3.38,9.62,0.78,2.22
19,162874.0,0.0,0.0,10.64,27.36,10.64,27.36,4.48,11.52,2.52,6.48
20,158180.0,1.35,1.65,21.15,25.85,11.25,13.75,8.55,10.45,3.15,3.85
21,167638.0,1.68,2.32,21.84,30.16,10.08,13.92,5.88,8.12,2.52,3.48
22,180209.0,0.37,0.63,12.21,20.79,11.84,20.16,8.88,15.12,3.7,6.3
23,161834.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0
24,172454.0,2.7,2.3,32.94,28.06,11.88,10.12,4.86,4.14,1.62,1.38
25,158112.0,2.58,3.42,22.36,29.64,9.03,11.97,6.88,9.12,2.58,3.42
26,167651.0,0.9,1.1,17.1,20.9,13.5,16.5,9.45,11.55,3.6,4.4
27,164192.0,1.1,0.9,27.5,22.5,14.3,11.7,8.25,6.75,3.85,3.15
28,171744.0,,,,,,,,,,
29,143422.0,6.25,18.75,12.5,37.5,6.25,18.75,0.0,0.0,0.0,0.0
30,130811.0,50.0,4.5,25.0,2.25,0.0,0.0,25.0,2.25,0.0,0.0
31,195980.0,,,,,,,,,,
32,168749.0,4.1,5.9,25.83,37.17,8.61,12.39,1.64,2.36,0.82,1.18
33,142210.0,0.0,0.0,12.87,26.13,5.61,11.39,9.24,18.76,5.61,11.39
