PID,성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대
401,여,59,서비스/판매직,12:00~14:59,15:00~17:59
1701,남,54,생산직,18:00~20:59,12:00~14:59
2001,남,34,사무직,18:00~20:59,12:00~14:59
2002,여,34,주부,12:00~14:59,이용하지 않음
2101,남,49,생산직,12:00~14:59,9:00~11:59
2102,여,48,주부,9:00~11:59,이용하지 않음
2201,남,43,사무직,18:00~20:59,12:00~14:59
2202,여,42,주부,12:00~14:59,12:00~14:59
2301,여,32,주부,12:00~14:59,이용하지 않음
2302,남,37,사무직,18:00~20:59,12:00~14:59
2601,남,44,생산직,12:00~14:59,12:00~14:59
2602,여,42,주부,12:00~14:59,이용하지 않음
2701,여,48,서비스/판매직,15:00~17:59,이용하지 않음
2702,남,48,생산직,15:00~17:59,15:00~17:59
2703,여,24,사무직,18:00~20:59,12:00~14:59
2704,여,22,무직,18:00~20:59,18:00~20:59
2705,남,18,학생,18:00~20:59,9:00~11:59
2901,여,55,주부,12:00~14:59,이용하지 않음
2902,여,18,학생,18:00~20:59,15:00~17:59
3001,여,29,주부,12:00~14:59,12:00~14:59
3101,여,25,서비스/판매직,18:00~20:59,12:00~14:59
3201,여,36,서비스/판매직,9:00~11:59,12:00~14:59
3401,남,37,생산직,21:00~23:59,15:00~17:59
3501,여,22,서비스/판매직,18:00~20:59,15:00~17:59
3601,남,60,생산직,18:00~20:59,12:00~14:59
3701,남,24,무직,21:00~23:59,21:00~23:59
3901,여,54,서비스/판매직,12:00~14:59,18:00~20:59
4101,여,20,학생,15:00~17:59,18:00~20:59
4201,여,27,사무직,21:00~23:59,이용하지 않음
4301,여,33,사무직,21:00~23:59,18:00~20:59
4501,남,65,무직,15:00~17:59,12:00~14:59
4601,여,49,사무직,18:00~20:59,15:00~17:59
4602,남,51,사무직,12:00~14:59,18:00~20:59
4701,여,29,사무직,21:00~23:59,21:00~23:59
4702,남,27,사무직,21:00~23:59,21:00~23:59
4801,남,33,사무직,21:00~23:59,21:00~23:59
4802,여,32,사무직,18:00~20:59,15:00~17:59
4901,남,35,생산직,18:00~20:59,15:00~17:59
5201,남,38,사무직,12:00~14:59,21:00~23:59
5202,여,29,사무직,12:00~14:59,18:00~20:59
5301,여,54,서비스/판매직,12:00~14:59,21:00~23:59
5302,여,25,무직,21:00~23:59,18:00~20:59
5401,남,35,생산직,12:00~14:59,18:00~20:59
5501,남,27,생산직,21:00~23:59,18:00~20:59
5601,남,46,사무직,12:00~14:59,18:00~20:59
5701,남,69,무직,15:00~17:59,12:00~14:59
6001,여,59,주부,15:00~17:59,12:00~14:59
6002,남,67,생산직,12:00~14:59,15:00~17:59
6101,남,51,생산직,18:00~20:59,12:00~14:59
6501,여,58,주부,15:00~17:59,12:00~14:59
6601,여,37,서비스/판매직,12:00~14:59,21:00~23:59
6701,남,62,무직,15:00~17:59,이용하지 않음
6901,남,65,무직,15:00~17:59,12:00~14:59
7101,여,58,서비스/판매직,12:00~14:59,15:00~17:59
7201,여,50,서비스/판매직,12:00~14:59,18:00~20:59
7202,남,23,학생,18:00~20:59,12:00~14:59
7301,남,30,무직,21:00~23:59,21:00~23:59
7402,남,37,사무직,12:00~14:59,21:00~23:59
7501,남,50,생산직,18:00~20:59,18:00~20:59
7502,여,73,무직,15:00~17:59,15:00~17:59
7601,여,60,생산직,18:00~20:59,18:00~20:59
7701,남,34,사무직,18:00~20:59,12:00~14:59
7702,여,30,주부,9:00~11:59,12:00~14:59
7802,여,19,학생,21:00~23:59,21:00~23:59
7901,남,53,생산직,18:00~20:59,12:00~14:59
8101,여,40,주부,12:00~14:59,15:00~17:59
8201,여,43,서비스/판매직,18:00~20:59,15:00~17:59
8701,여,30,사무직,18:00~20:59,12:00~14:59
9001,여,74,주부,15:00~17:59,15:00~17:59
9002,남,41,무직,9:00~11:59,9:00~11:59
9102,여,39,무직,18:00~20:59,18:00~20:59
9201,여,45,서비스/판매직,18:00~20:59,18:00~20:59
9202,남,20,학생,12:00~14:59,12:00~14:59
9301,남,29,사무직,18:00~20:59,15:00~17:59
9302,여,25,무직,12:00~14:59,12:00~14:59
9402,남,31,생산직,18:00~20:59,18:00~20:59
9701,여,54,서비스/판매직,15:00~17:59,이용하지 않음
9702,남,59,무직,15:00~17:59,15:00~17:59
9703,여,27,서비스/판매직,18:00~20:59,9:00~11:59
9801,여,40,서비스/판매직,15:00~17:59,15:00~17:59
9802,여,14,학생,12:00~14:59,15:00~17:59
10001,여,37,무직,15:00~17:59,15:00~17:59
10002,남,36,무직,18:00~20:59,18:00~20:59
10004,남,13,학생,18:00~20:59,21:00~23:59
10101,남,62,생산직,이용하지 않음,15:00~17:59
10202,남,47,서비스/판매직,15:00~17:59,이용하지 않음
10302,여,12,학생,21:00~23:59,18:00~20:59
10402,남,30,생산직,18:00~20:59,15:00~17:59
10601,남,68,생산직,12:00~14:59,15:00~17:59
10602,여,61,주부,12:00~14:59,이용하지 않음
10801,여,64,서비스/판매직,18:00~20:59,이용하지 않음
10802,남,69,무직,12:00~14:59,이용하지 않음
10803,남,28,무직,18:00~20:59,18:00~20:59
10901,여,74,주부,15:00~17:59,이용하지 않음
10903,여,51,무직,15:00~17:59,15:00~17:59
11001,여,32,주부,18:00~20:59,이용하지 않음
11002,남,36,사무직,18:00~20:59,15:00~17:59
11101,여,54,주부,12:00~14:59,이용하지 않음
11301,여,25,주부,15:00~17:59,15:00~17:59
11302,남,39,사무직,18:00~20:59,18:00~20:59
11701,남,71,생산직,18:00~20:59,18:00~20:59
11801,여,47,주부,15:00~17:59,15:00~17:59
11802,남,47,생산직,18:00~20:59,18:00~20:59
12002,남,59,무직,15:00~17:59,15:00~17:59
12101,여,38,주부,15:00~17:59,15:00~17:59
12102,남,39,생산직,15:00~17:59,18:00~20:59
12201,남,45,생산직,15:00~17:59,15:00~17:59
