성별,연령,직업,학력,ott 주중 이용시간대,ott 주말 이용시간대
남,20대,사무직,대졸이상,21:00~23:59,12:00~14:59
남,10대,학생,중/고등학생,21:00~23:59,21:00~23:59
남,40대,사무직,고졸이하,15:00~17:59,21:00~23:59
남,50세 이상,서비스/판매직,고졸이하,21:00~23:59,21:00~23:59
남,30대,사무직,대졸이상,21:00~23:59,이용하지 않음
남,30대,사무직,대졸이상,21:00~23:59,이용하지 않음
남,20대,학생,대학생/대학원생,15:00~17:59,15:00~17:59
남,30대,서비스/판매직,고졸이하,12:00~14:59,15:00~17:59
남,50세 이상,서비스/판매직,고졸이하,24:00~5:59,이용하지 않음
남,50세 이상,무직,고졸이하,15:00~17:59,이용하지 않음
남,50세 이상,서비스/판매직,고졸이하,15:00~17:59,이용하지 않음
남,50세 이상,생산직,대졸이상,15:00~17:59,12:00~14:59
남,40대,사무직,대졸이상,12:00~14:59,12:00~14:59
남,10대,학생,중/고등학생,18:00~20:59,18:00~20:59
남,50세 이상,무직,고졸이하,15:00~17:59,15:00~17:59
남,40대,사무직,대졸이상,15:00~17:59,15:00~17:59
남,50세 이상,생산직,고졸이하,이용하지 않음,18:00~20:59
남,30대,사무직,대졸이상,15:00~17:59,이용하지 않음
남,40대,생산직,대졸이상,15:00~17:59,15:00~17:59
남,50세 이상,기타,고졸이하,18:00~20:59,18:00~20:59
남,30대,사무직,대졸이상,21:00~23:59,15:00~17:59
남,40대,생산직,대졸이상,24:00~5:59,이용하지 않음
남,40대,생산직,고졸이하,21:00~23:59,21:00~23:59
남,30대,사무직,대졸이상,21:00~23:59,21:00~23:59
남,20대,학생,대학생/대학원생,21:00~23:59,21:00~23:59
남,50세 이상,생산직,고졸이하,이용하지 않음,15:00~17:59
남,30대,서비스/판매직,고졸이하,15:00~17:59,15:00~17:59
남,40대,무직,고졸이하,15:00~17:59,15:00~17:59
남,40대,서비스/판매직,고졸이하,12:00~14:59,24:00~5:59
남,30대,사무직,대졸이상,21:00~23:59,21:00~23:59
남,40대,사무직,대졸이상,21:00~23:59,21:00~23:59
남,20대,학생,대학생/대학원생,21:00~23:59,21:00~23:59
남,20대,생산직,대졸이상,21:00~23:59,21:00~23:59
남,10대,학생,중/고등학생,15:00~17:59,15:00~17:59
남,50세 이상,사무직,대졸이상,21:00~23:59,21:00~23:59
남,30대,무직,대졸이상,21:00~23:59,21:00~23:59
남,30대,생산직,대졸이상,21:00~23:59,12:00~14:59
남,50세 이상,무직,고졸이하,15:00~17:59,15:00~17:59
남,40대,생산직,대졸이상,21:00~23:59,15:00~17:59
남,40대,생산직,대졸이상,21:00~23:59,21:00~23:59
남,40대,생산직,고졸이하,18:00~20:59,18:00~20:59
남,50세 이상,생산직,고졸이하,18:00~20:59,15:00~17:59
남,50세 이상,생산직,고졸이하,21:00~23:59,15:00~17:59
남,30대,서비스/판매직,대졸이상,21:00~23:59,21:00~23:59
남,20대,사무직,대졸이상,21:00~23:59,18:00~20:59
남,20대,사무직,대졸이상,21:00~23:59,이용하지 않음
남,20대,서비스/판매직,대졸이상,21:00~23:59,15:00~17:59
남,50세 이상,생산직,고졸이하,15:00~17:59,15:00~17:59
남,50세 이상,생산직,고졸이하,21:00~23:59,15:00~17:59
남,30대,사무직,대졸이상,21:00~23:59,21:00~23:59
남,30대,서비스/판매직,대졸이상,15:00~17:59,15:00~17:59
남,50세 이상,무직,고졸이하,12:00~14:59,21:00~23:59
남,40대,사무직,대졸이상,21:00~23:59,21:00~23:59
남,50세 이상,생산직,고졸이하,이용하지 않음,21:00~23:59
남,10대,학생,중/고등학생,15:00~17:59,15:00~17:59
남,50세 이상,사무직,대졸이상,21:00~23:59,21:00~23:59
남,40대,생산직,대졸이상,21:00~23:59,18:00~20:59
남,50세 이상,무직,대졸이상,18:00~20:59,이용하지 않음
남,40대,생산직,대졸이상,이용하지 않음,18:00~20:59
남,50세 이상,사무직,대졸이상,18:00~20:59,18:00~20:59
남,50세 이상,무직,고졸이하,18:00~20:59,18:00~20:59
남,50세 이상,사무직,대졸이상,21:00~23:59,12:00~14:59
남,40대,서비스/판매직,대졸이상,12:00~14:59,12:00~14:59
남,40대,사무직,대졸이상,18:00~20:59,18:00~20:59
남,50세 이상,생산직,고졸이하,18:00~20:59,18:00~20:59
남,30대,사무직,대졸이상,18:00~20:59,15:00~17:59
남,30대,서비스/판매직,대졸이상,12:00~14:59,15:00~17:59
남,10대,학생,대학생/대학원생,21:00~23:59,24:00~5:59
남,10대,학생,중/고등학생,18:00~20:59,15:00~17:59
남,40대,서비스/판매직,고졸이하,12:00~14:59,18:00~20:59
남,50세 이상,서비스/판매직,고졸이하,18:00~20:59,15:00~17:59
남,20대,생산직,고졸이하,12:00~14:59,이용하지 않음
남,50세 이상,서비스/판매직,고졸이하,18:00~20:59,18:00~20:59
남,50세 이상,무직,고졸이하,15:00~17:59,15:00~17:59
남,40대,생산직,고졸이하,21:00~23:59,12:00~14:59
남,50세 이상,사무직,대졸이상,21:00~23:59,21:00~23:59
남,20대,학생,대학생/대학원생,15:00~17:59,21:00~23:59
남,50세 이상,생산직,고졸이하,18:00~20:59,15:00~17:59
남,40대,무직,고졸이하,15:00~17:59,9:00~11:59
남,10대,학생,중/고등학생,21:00~23:59,21:00~23:59
남,50세 이상,생산직,고졸이하,18:00~20:59,18:00~20:59
남,50세 이상,서비스/판매직,고졸이하,12:00~14:59,12:00~14:59
남,40대,서비스/판매직,고졸이하,15:00~17:59,15:00~17:59
남,50세 이상,사무직,고졸이하,12:00~14:59,15:00~17:59
남,30대,사무직,대졸이상,18:00~20:59,18:00~20:59
남,40대,서비스/판매직,대졸이상,12:00~14:59,21:00~23:59
남,30대,사무직,대졸이상,21:00~23:59,18:00~20:59
남,40대,사무직,대졸이상,12:00~14:59,15:00~17:59
남,20대,생산직,대졸이상,12:00~14:59,12:00~14:59
남,20대,학생,대학생/대학원생,9:00~11:59,21:00~23:59
남,50세 이상,생산직,고졸이하,21:00~23:59,15:00~17:59
남,20대,사무직,대졸이상,18:00~20:59,15:00~17:59
