PID,성별,연령,직업,학력,ott 주중 이용시간대,ott 주말 이용시간대
224802,남,20대,사무직,대졸이상,6,3
370802,남,10대,학생,중/고등학생,6,6
233701,남,40대,사무직,고졸이하,4,6
233802,남,50세 이상,서비스/판매직,고졸이하,6,6
234001,남,30대,사무직,대졸이상,6,0
377101,남,30대,사무직,대졸이상,6,0
370703,남,20대,학생,대학생/대학원생,4,4
235001,남,30대,서비스/판매직,고졸이하,3,4
370702,남,50세 이상,서비스/판매직,고졸이하,7,0
58201,남,50세 이상,무직,고졸이하,4,0
370601,남,50세 이상,서비스/판매직,고졸이하,4,0
376801,남,50세 이상,생산직,대졸이상,4,3
235701,남,40대,사무직,대졸이상,3,3
60202,남,10대,학생,중/고등학생,5,5
60002,남,50세 이상,무직,고졸이하,4,4
370301,남,40대,사무직,대졸이상,4,4
57801,남,50세 이상,생산직,고졸이하,0,5
370201,남,30대,사무직,대졸이상,4,0
233001,남,40대,생산직,대졸이상,4,4
371301,남,50세 이상,기타,고졸이하,5,5
230101,남,30대,사무직,대졸이상,6,4
55301,남,40대,생산직,대졸이상,7,0
55001,남,40대,생산직,고졸이하,6,6
230202,남,30대,사무직,대졸이상,6,6
377702,남,20대,학생,대학생/대학원생,6,6
54502,남,50세 이상,생산직,고졸이하,0,4
231501,남,30대,서비스/판매직,고졸이하,4,4
231703,남,40대,무직,고졸이하,4,4
372902,남,40대,서비스/판매직,고졸이하,3,7
231802,남,30대,사무직,대졸이상,6,6
378101,남,40대,사무직,대졸이상,6,6
232003,남,20대,학생,대학생/대학원생,6,6
372701,남,20대,생산직,대졸이상,6,6
232502,남,10대,학생,중/고등학생,4,4
371901,남,50세 이상,사무직,대졸이상,6,6
232901,남,30대,무직,대졸이상,6,6
375702,남,30대,생산직,대졸이상,6,3
59502,남,50세 이상,무직,고졸이하,4,4
369902,남,40대,생산직,대졸이상,6,4
239101,남,40대,생산직,대졸이상,6,6
368601,남,40대,생산직,고졸이하,5,5
58801,남,50세 이상,생산직,고졸이하,5,4
239202,남,50세 이상,생산직,고졸이하,6,4
239301,남,30대,서비스/판매직,대졸이상,6,6
239401,남,20대,사무직,대졸이상,6,5
239402,남,20대,사무직,대졸이상,6,0
239502,남,20대,서비스/판매직,대졸이상,6,4
239601,남,50세 이상,생산직,고졸이하,4,4
368501,남,50세 이상,생산직,고졸이하,6,4
368402,남,30대,사무직,대졸이상,6,6
58702,남,30대,서비스/판매직,대졸이상,4,4
240201,남,50세 이상,무직,고졸이하,3,6
376501,남,40대,사무직,대졸이상,6,6
240301,남,50세 이상,생산직,고졸이하,0,6
58803,남,10대,학생,중/고등학생,4,4
239001,남,50세 이상,사무직,대졸이상,6,6
58902,남,40대,생산직,대졸이상,6,5
238901,남,50세 이상,무직,대졸이상,5,0
59402,남,40대,생산직,대졸이상,0,5
236901,남,50세 이상,사무직,대졸이상,5,5
376102,남,50세 이상,무직,고졸이하,5,5
237302,남,50세 이상,사무직,대졸이상,6,3
237501,남,40대,서비스/판매직,대졸이상,3,3
237701,남,40대,사무직,대졸이상,5,5
59303,남,50세 이상,생산직,고졸이하,5,5
373401,남,30대,사무직,대졸이상,5,4
369702,남,30대,서비스/판매직,대졸이상,3,4
238002,남,10대,학생,대학생/대학원생,6,7
59302,남,10대,학생,중/고등학생,5,4
238401,남,40대,서비스/판매직,고졸이하,3,5
369002,남,50세 이상,서비스/판매직,고졸이하,5,4
59202,남,20대,생산직,고졸이하,3,0
238701,남,50세 이상,서비스/판매직,고졸이하,5,5
59101,남,50세 이상,무직,고졸이하,4,4
53201,남,40대,생산직,고졸이하,6,3
377701,남,50세 이상,사무직,대졸이상,6,6
377502,남,20대,학생,대학생/대학원생,4,6
229301,남,50세 이상,생산직,고졸이하,5,4
219002,남,40대,무직,고졸이하,4,2
377103,남,10대,학생,중/고등학생,6,6
219201,남,50세 이상,생산직,고졸이하,5,5
75001,남,50세 이상,서비스/판매직,고졸이하,3,3
377101,남,40대,서비스/판매직,고졸이하,4,4
74301,남,50세 이상,사무직,고졸이하,3,4
376801,남,30대,사무직,대졸이상,5,5
373702,남,40대,서비스/판매직,대졸이상,3,6
222902,남,30대,사무직,대졸이상,6,5
376701,남,40대,사무직,대졸이상,3,4
376601,남,20대,생산직,대졸이상,3,3
223102,남,20대,학생,대학생/대학원생,2,6
223201,남,50세 이상,생산직,고졸이하,6,4
223203,남,20대,사무직,대졸이상,5,4
373902,남,50세 이상,사무직,고졸이하,6,0
218902,남,50세 이상,사무직,대졸이상,5,3
377201,남,20대,생산직,대졸이상,6,6
218103,남,30대,생산직,대졸이상,5,5
218002,남,30대,생산직,고졸이하,5,5
213001,남,50세 이상,서비스/판매직,대졸이상,0,6
75602,남,30대,생산직,고졸이하,6,6
377601,남,20대,무직,고졸이하,6,6
213301,남,40대,사무직,대졸이상,4,0
372903,남,10대,학생,중/고등학생,6,6
213303,남,20대,학생,대학생/대학원생,6,6
377501,남,30대,서비스/판매직,고졸이하,6,6
374401,남,50세 이상,생산직,고졸이하,6,4
213602,남,40대,사무직,대졸이상,0,5
373301,남,40대,사무직,대졸이상,6,6
377301,남,20대,서비스/판매직,고졸이하,4,4
373402,남,40대,사무직,대졸이상,6,0
215601,남,50세 이상,무직,고졸이하,2,2
216302,남,50세 이상,무직,고졸이하,2,2
216602,남,20대,무직,고졸이하,6,6
217002,남,10대,학생,중/고등학생,6,6
377402,남,30대,사무직,대졸이상,6,6
240401,남,50세 이상,사무직,대졸이상,3,0
376001,남,30대,사무직,대졸이상,6,6
223801,남,40대,서비스/판매직,고졸이하,4,3
374302,남,10대,학생,중/고등학생,6,6
56501,남,20대,생산직,대졸이상,5,3
226601,남,20대,사무직,고졸이하,4,4
227001,남,50세 이상,서비스/판매직,고졸이하,4,4
56301,남,30대,생산직,대졸이상,5,5
227301,남,30대,사무직,대졸이상,6,6
56102,남,30대,사무직,대졸이상,6,5
227701,남,50세 이상,서비스/판매직,고졸이하,4,4
56001,남,50세 이상,무직,고졸이하,4,4
55801,남,50세 이상,서비스/판매직,고졸이하,5,0
228602,남,20대,무직,대졸이상,5,5
228701,남,30대,생산직,고졸이하,5,3
228801,남,20대,사무직,대졸이상,6,3
55601,남,50세 이상,생산직,고졸이하,5,5
229002,남,30대,생산직,고졸이하,0,4
226101,남,40대,사무직,대졸이상,4,4
374401,남,40대,사무직,대졸이상,0,4
225901,남,40대,생산직,고졸이하,3,3
225502,남,50세 이상,서비스/판매직,고졸이하,4,4
224201,남,50세 이상,생산직,고졸이하,6,6
224301,남,50세 이상,무직,고졸이하,6,6
60502,남,50세 이상,생산직,고졸이하,3,3
224402,남,20대,무직,고졸이하,5,5
224403,남,20대,무직,고졸이하,5,5
224701,남,40대,사무직,대졸이상,6,6
375701,남,50세 이상,서비스/판매직,고졸이하,6,0
375901,남,50세 이상,사무직,고졸이하,3,0
60402,남,10대,학생,대학생/대학원생,4,3
375201,남,50세 이상,무직,고졸이하,3,3
374901,남,40대,서비스/판매직,대졸이상,5,5
225101,남,30대,사무직,대졸이상,5,5
60301,남,30대,생산직,고졸이하,5,3
56701,남,50세 이상,생산직,고졸이하,3,3
225301,남,30대,생산직,고졸이하,4,4
56601,남,50세 이상,생산직,고졸이하,3,3
375401,남,50세 이상,생산직,고졸이하,6,4
376301,남,40대,사무직,대졸이상,6,6
240602,남,10대,학생,중/고등학생,0,7
368201,남,30대,사무직,대졸이상,6,3
11202,남,50세 이상,서비스/판매직,고졸이하,3,3
11001,남,40대,사무직,대졸이상,3,3
361302,남,40대,사무직,고졸이하,3,4
10903,남,10대,학생,중/고등학생,3,3
208002,남,40대,생산직,대졸이상,5,5
361201,남,20대,서비스/판매직,고졸이하,6,5
257001,남,40대,사무직,대졸이상,3,5
361102,남,40대,생산직,대졸이상,5,0
10401,남,50세 이상,무직,고졸이하,0,3
257302,남,40대,생산직,고졸이하,6,4
257601,남,40대,사무직,고졸이하,5,4
393001,남,40대,서비스/판매직,대졸이상,6,5
360901,남,30대,사무직,대졸이상,6,6
360801,남,20대,서비스/판매직,대졸이상,6,6
7001,남,50세 이상,생산직,대졸이상,0,6
361502,남,40대,생산직,대졸이상,6,4
361602,남,40대,생산직,고졸이하,5,5
255701,남,20대,생산직,고졸이하,5,5
361701,남,30대,서비스/판매직,고졸이하,3,3
13303,남,10대,학생,중/고등학생,5,5
362801,남,20대,사무직,대졸이상,5,5
13301,남,40대,서비스/판매직,고졸이하,0,0
389201,남,30대,무직,대졸이상,3,6
252701,남,50세 이상,생산직,고졸이하,6,4
11802,남,50세 이상,무직,고졸이하,4,6
389302,남,30대,서비스/판매직,고졸이하,6,6
360502,남,40대,생산직,대졸이상,6,6
362201,남,20대,서비스/판매직,고졸이하,2,2
253301,남,50세 이상,무직,고졸이하,4,0
362101,남,30대,서비스/판매직,고졸이하,3,3
390201,남,40대,서비스/판매직,고졸이하,6,6
362001,남,30대,서비스/판매직,고졸이하,4,3
254601,남,50세 이상,생산직,고졸이하,6,6
11401,남,40대,무직,고졸이하,3,3
255502,남,20대,생산직,대졸이상,0,6
389801,남,30대,사무직,대졸이상,6,6
362902,남,20대,기타,대졸이상,6,6
6801,남,40대,사무직,대졸이상,3,3
258501,남,40대,생산직,고졸이하,5,5
2502,남,50세 이상,서비스/판매직,고졸이하,5,4
263001,남,30대,무직,대졸이상,6,2
2202,남,20대,무직,대졸이상,5,4
1902,남,40대,사무직,대졸이상,5,5
264001,남,30대,서비스/판매직,대졸이상,5,0
395302,남,30대,서비스/판매직,고졸이하,5,3
1601,남,30대,사무직,고졸이하,6,5
395402,남,10대,학생,대학생/대학원생,4,4
395602,남,10대,학생,대학생/대학원생,5,5
264303,남,30대,사무직,대졸이상,6,0
358401,남,30대,사무직,대졸이상,6,7
264401,남,40대,사무직,대졸이상,6,0
801,남,20대,학생,대학생/대학원생,5,3
264601,남,30대,서비스/판매직,대졸이상,6,6
301,남,50세 이상,서비스/판매직,고졸이하,5,4
262802,남,40대,생산직,대졸이상,6,5
2702,남,50세 이상,무직,고졸이하,2,3
394801,남,50세 이상,서비스/판매직,대졸이상,6,6
262602,남,20대,학생,대학생/대학원생,5,5
258601,남,50세 이상,생산직,고졸이하,5,5
360402,남,40대,사무직,대졸이상,6,6
4201,남,20대,무직,대졸이상,6,4
3202,남,30대,사무직,대졸이상,6,6
258802,남,50세 이상,생산직,고졸이하,5,5
262001,남,20대,서비스/판매직,대졸이상,6,3
262101,남,50세 이상,서비스/판매직,대졸이상,3,3
258302,남,50세 이상,생산직,고졸이하,4,4
360201,남,20대,학생,대학생/대학원생,6,6
394701,남,50세 이상,사무직,대졸이상,0,4
262203,남,20대,무직,고졸이하,4,4
359901,남,10대,학생,중/고등학생,6,6
359801,남,40대,사무직,대졸이상,6,6
3002,남,50세 이상,무직,고졸이하,4,4
262502,남,40대,생산직,고졸이하,6,6
359601,남,40대,생산직,고졸이하,3,2
360101,남,50세 이상,무직,고졸이하,3,3
212903,남,20대,사무직,고졸이하,6,6
13702,남,30대,사무직,대졸이상,5,5
13801,남,40대,생산직,고졸이하,5,5
242801,남,50세 이상,생산직,대졸이상,6,0
242901,남,50세 이상,생산직,고졸이하,6,6
8902,남,10대,학생,중/고등학생,5,4
243101,남,50세 이상,생산직,고졸이하,6,6
367301,남,50세 이상,생산직,대졸이상,6,0
243202,남,50세 이상,사무직,대졸이상,6,0
367202,남,40대,사무직,대졸이상,6,0
243302,남,40대,사무직,대졸이상,5,5
392002,남,10대,학생,대학생/대학원생,6,4
243901,남,50세 이상,서비스/판매직,고졸이하,6,6
244101,남,50세 이상,생산직,고졸이하,6,6
392201,남,10대,무직,고졸이하,6,6
244302,남,50세 이상,사무직,대졸이상,5,0
366002,남,50세 이상,생산직,고졸이하,3,0
365902,남,50세 이상,서비스/판매직,대졸이상,6,6
242701,남,40대,서비스/판매직,대졸이상,6,0
242601,남,50세 이상,사무직,대졸이상,0,4
391902,남,50세 이상,사무직,고졸이하,4,0
242301,남,30대,사무직,대졸이상,7,7
368102,남,20대,학생,대학생/대학원생,4,4
240902,남,20대,학생,대학생/대학원생,3,6
241001,남,50세 이상,생산직,고졸이하,6,0
383301,남,50세 이상,생산직,고졸이하,5,6
30801,남,30대,서비스/판매직,대졸이상,5,2
30501,남,30대,서비스/판매직,고졸이하,5,6
241301,남,50세 이상,생산직,고졸이하,4,0
244502,남,50세 이상,무직,대졸이상,4,4
391702,남,50세 이상,생산직,고졸이하,6,6
241601,남,50세 이상,무직,고졸이하,3,0
241701,남,50세 이상,무직,대졸이상,5,6
241802,남,20대,학생,대학생/대학원생,0,3
241901,남,30대,사무직,대졸이상,6,0
9901,남,30대,사무직,대졸이상,3,0
9701,남,50세 이상,서비스/판매직,대졸이상,2,0
9601,남,50세 이상,생산직,고졸이하,3,0
367901,남,40대,생산직,고졸이하,5,4
363002,남,50세 이상,생산직,고졸이하,0,5
244601,남,50세 이상,사무직,대졸이상,6,6
8402,남,40대,서비스/판매직,대졸이상,5,5
7201,남,30대,사무직,고졸이하,7,7
364901,남,50세 이상,생산직,고졸이하,3,4
364702,남,10대,학생,중/고등학생,6,5
10302,남,20대,학생,중/고등학생,3,3
249601,남,50세 이상,생산직,고졸이하,0,0
364301,남,30대,서비스/판매직,대졸이상,6,6
249603,남,10대,생산직,고졸이하,5,5
10902,남,10대,학생,중/고등학생,3,4
364101,남,30대,사무직,대졸이상,0,6
249701,남,30대,서비스/판매직,대졸이상,4,4
388704,남,10대,무직,고졸이하,6,4
363501,남,50세 이상,생산직,고졸이하,0,2
250002,남,20대,서비스/판매직,고졸이하,7,6
363402,남,10대,학생,대학생/대학원생,6,6
13901,남,30대,서비스/판매직,고졸이하,5,5
10102,남,10대,학생,중/고등학생,5,5
392501,남,30대,사무직,대졸이상,6,6
365302,남,50세 이상,서비스/판매직,고졸이하,3,3
7602,남,50세 이상,서비스/판매직,고졸이하,4,6
244902,남,50세 이상,생산직,대졸이상,5,0
365801,남,50세 이상,생산직,고졸이하,0,3
245002,남,10대,학생,중/고등학생,5,5
245101,남,30대,사무직,대졸이상,5,0
392202,남,10대,무직,중/고등학생,4,4
8301,남,30대,생산직,대졸이상,5,4
365601,남,40대,사무직,고졸이하,4,0
244801,남,40대,사무직,대졸이상,6,5
365502,남,40대,사무직,대졸이상,3,0
246201,남,50세 이상,무직,고졸이하,4,4
8202,남,30대,생산직,대졸이상,6,5
365402,남,40대,사무직,대졸이상,4,3
246403,남,30대,생산직,대졸이상,5,0
246901,남,50세 이상,무직,고졸이하,3,3
247301,남,40대,사무직,대졸이상,5,0
8002,남,40대,사무직,고졸이하,0,3
246102,남,50세 이상,사무직,대졸이상,5,0
212803,남,20대,무직,대졸이상,3,3
212703,남,20대,학생,대학생/대학원생,6,0
75702,남,50세 이상,사무직,대졸이상,6,3
186601,남,40대,생산직,고졸이하,5,5
35002,남,40대,생산직,고졸이하,6,6
186701,남,40대,서비스/판매직,대졸이상,3,3
393801,남,40대,서비스/판매직,고졸이하,3,6
34802,남,50세 이상,생산직,고졸이하,5,5
186802,남,50세 이상,무직,고졸이하,2,2
393701,남,50세 이상,서비스/판매직,대졸이상,6,6
34402,남,30대,사무직,대졸이상,6,6
393601,남,40대,서비스/판매직,대졸이상,5,5
187401,남,20대,서비스/판매직,고졸이하,3,0
187501,남,20대,서비스/판매직,대졸이상,6,3
187601,남,50세 이상,사무직,고졸이하,6,0
393502,남,40대,사무직,대졸이상,6,5
187801,남,20대,생산직,고졸이하,6,6
187901,남,50세 이상,서비스/판매직,대졸이상,4,4
186301,남,50세 이상,무직,대졸이상,4,3
394101,남,30대,서비스/판매직,대졸이상,4,4
35501,남,40대,생산직,고졸이하,5,5
394401,남,50세 이상,서비스/판매직,고졸이하,6,3
184201,남,50세 이상,사무직,대졸이상,5,5
395201,남,50세 이상,서비스/판매직,대졸이상,6,6
395001,남,50세 이상,무직,고졸이하,3,4
184303,남,10대,학생,중/고등학생,6,5
42103,남,30대,생산직,고졸이하,5,5
184501,남,30대,서비스/판매직,고졸이하,6,4
394802,남,50세 이상,생산직,고졸이하,6,3
187903,남,20대,사무직,대졸이상,4,4
184602,남,40대,사무직,고졸이하,3,4
41103,남,30대,사무직,대졸이상,7,6
184801,남,40대,사무직,대졸이상,3,3
394502,남,50세 이상,사무직,고졸이하,3,6
185201,남,40대,서비스/판매직,대졸이상,3,4
39602,남,40대,사무직,대졸이상,4,4
394402,남,20대,사무직,대졸이상,5,6
185501,남,50세 이상,사무직,고졸이하,4,0
184701,남,50세 이상,서비스/판매직,대졸이상,3,5
184102,남,50세 이상,사무직,대졸이상,2,4
187904,남,20대,학생,대학생/대학원생,5,3
34102,남,10대,학생,중/고등학생,6,6
190201,남,40대,생산직,고졸이하,6,3
382601,남,30대,생산직,고졸이하,5,5
392502,남,50세 이상,생산직,고졸이하,2,3
43001,남,40대,사무직,대졸이상,3,3
191001,남,50세 이상,생산직,고졸이하,4,0
191002,남,50세 이상,생산직,고졸이하,5,0
191003,남,50세 이상,생산직,고졸이하,3,4
191004,남,40대,생산직,고졸이하,5,0
392402,남,30대,사무직,대졸이상,6,6
191202,남,50세 이상,서비스/판매직,고졸이하,5,0
382101,남,30대,사무직,대졸이상,6,6
191302,남,50세 이상,서비스/판매직,고졸이하,5,0
46301,남,50세 이상,생산직,고졸이하,3,3
392301,남,50세 이상,사무직,대졸이상,6,4
392202,남,50세 이상,생산직,대졸이상,6,6
190101,남,20대,서비스/판매직,대졸이상,6,6
392602,남,50세 이상,서비스/판매직,대졸이상,5,5
42301,남,30대,생산직,고졸이하,4,4
392801,남,50세 이상,무직,대졸이상,5,3
393402,남,40대,서비스/판매직,대졸이상,6,3
188302,남,10대,학생,대학생/대학원생,4,4
34101,남,40대,생산직,고졸이하,5,5
382801,남,30대,사무직,대졸이상,0,6
393301,남,50세 이상,사무직,대졸이상,0,6
188902,남,10대,학생,대학생/대학원생,6,5
189001,남,20대,사무직,대졸이상,6,0
188001,남,40대,생산직,고졸이하,6,4
33902,남,30대,생산직,고졸이하,0,3
393201,남,50세 이상,서비스/판매직,대졸이상,5,3
189202,남,20대,서비스/판매직,대졸이상,5,5
393102,남,50세 이상,사무직,대졸이상,5,6
33802,남,40대,사무직,대졸이상,6,6
393002,남,50세 이상,서비스/판매직,대졸이상,5,3
33003,남,40대,서비스/판매직,고졸이하,3,3
32502,남,30대,서비스/판매직,고졸이하,6,6
189101,남,20대,서비스/판매직,대졸이상,6,0
381001,남,40대,사무직,대졸이상,0,6
42203,남,10대,학생,대학생/대학원생,4,4
395501,남,50세 이상,서비스/판매직,고졸이하,5,3
51002,남,10대,학생,중/고등학생,6,6
178701,남,40대,서비스/판매직,대졸이상,3,3
378801,남,40대,사무직,대졸이상,6,5
401001,남,30대,생산직,대졸이상,6,6
50801,남,50세 이상,생산직,고졸이하,5,5
179001,남,30대,사무직,대졸이상,3,3
179101,남,50세 이상,사무직,대졸이상,3,0
400601,남,50세 이상,서비스/판매직,고졸이하,2,3
50703,남,10대,학생,중/고등학생,4,3
400301,남,40대,서비스/판매직,대졸이상,3,3
179302,남,30대,사무직,대졸이상,3,6
179401,남,20대,서비스/판매직,고졸이하,3,4
400201,남,50세 이상,서비스/판매직,고졸이하,3,4
400101,남,40대,서비스/판매직,대졸이상,3,0
50702,남,20대,학생,중/고등학생,3,4
401202,남,50세 이상,생산직,대졸이상,6,6
178401,남,20대,무직,대졸이상,6,6
178301,남,10대,학생,대학생/대학원생,6,6
51003,남,40대,사무직,대졸이상,4,5
46702,남,30대,생산직,대졸이상,3,3
49003,남,30대,생산직,고졸이하,5,5
46602,남,40대,생산직,고졸이하,6,0
49401,남,40대,사무직,대졸이상,6,6
176901,남,50세 이상,생산직,고졸이하,5,5
379101,남,50세 이상,기타,고졸이하,6,4
378502,남,30대,사무직,대졸이상,0,3
399801,남,40대,사무직,대졸이상,6,2
177301,남,30대,서비스/판매직,고졸이하,3,6
177502,남,30대,생산직,고졸이하,3,5
378601,남,30대,사무직,대졸이상,6,6
401801,남,40대,서비스/판매직,대졸이상,3,3
52102,남,20대,학생,대학생/대학원생,5,5
51602,남,40대,생산직,고졸이하,6,6
178101,남,50세 이상,무직,고졸이하,3,3
378701,남,40대,사무직,대졸이상,0,4
401901,남,50세 이상,서비스/판매직,대졸이상,5,4
46402,남,40대,사무직,대졸이상,6,2
180002,남,40대,무직,고졸이하,4,6
50701,남,40대,서비스/판매직,고졸이하,5,6
50301,남,40대,생산직,고졸이하,4,4
182901,남,40대,사무직,대졸이상,6,6
183001,남,40대,사무직,대졸이상,6,0
378902,남,20대,학생,대학생/대학원생,6,6
397402,남,40대,생산직,대졸이상,3,3
183201,남,30대,생산직,고졸이하,5,5
49701,남,20대,서비스/판매직,대졸이상,5,5
183301,남,50세 이상,무직,대졸이상,4,0
379201,남,40대,사무직,대졸이상,6,6
183601,남,50세 이상,사무직,대졸이상,5,5
46501,남,30대,생산직,중/고등학생,3,6
395703,남,40대,생산직,대졸이상,5,3
183801,남,50세 이상,사무직,대졸이상,4,4
46403,남,10대,학생,중/고등학생,6,5
183901,남,40대,사무직,대졸이상,5,0
398001,남,50세 이상,생산직,고졸이하,6,3
398301,남,50세 이상,무직,고졸이하,5,4
182401,남,50세 이상,서비스/판매직,고졸이하,5,5
398501,남,50세 이상,생산직,고졸이하,0,2
180301,남,40대,무직,대졸이상,3,3
180401,남,50세 이상,서비스/판매직,대졸이상,5,0
180501,남,50세 이상,사무직,대졸이상,5,0
399401,남,20대,무직,대졸이상,3,3
