성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대,연도
남,50세 이상,사무직,5,3,2020
남,40대,사무직,3,3,2019
남,50세 이상,생산직,0,6,2019
남,40대,서비스/판매직,6,5,2019
남,50세 이상,무직,0,3,2019
남,10대,학생,3,3,2019
남,40대,사무직,3,3,2019
남,50세 이상,서비스/판매직,3,3,2019
남,40대,무직,3,3,2019
남,40대,서비스/판매직,6,6,2019
남,30대,사무직,6,6,2019
남,30대,서비스/판매직,6,6,2019
남,50세 이상,무직,4,6,2019
남,30대,무직,3,6,2019
남,40대,서비스/판매직,0,0,2019
남,10대,학생,5,5,2019
남,20대,무직,6,4,2019
남,30대,사무직,5,5,2019
남,30대,사무직,6,6,2019
남,50세 이상,무직,4,4,2019
남,30대,기타,3,4,2019
남,10대,학생,3,4,2019
남,50세 이상,생산직,6,5,2019
남,50세 이상,사무직,3,0,2019
남,50세 이상,서비스/판매직,5,4,2019
남,20대,학생,5,3,2019
남,10대,학생,5,5,2019
남,10대,학생,4,4,2019
남,30대,사무직,6,5,2019
남,30대,서비스/판매직,5,3,2019
남,40대,사무직,5,5,2019
남,20대,무직,5,4,2019
남,50세 이상,서비스/판매직,5,4,2019
남,50세 이상,무직,2,3,2019
남,50세 이상,서비스/판매직,6,6,2019
남,50세 이상,사무직,0,4,2019
남,40대,생산직,5,5,2019
남,30대,서비스/판매직,5,5,2019
남,10대,무직,6,4,2019
남,30대,서비스/판매직,5,2,2019
남,50세 이상,생산직,5,6,2019
남,40대,사무직,6,6,2019
남,40대,사무직,6,6,2019
남,30대,서비스/판매직,4,4,2019
남,50세 이상,생산직,5,4,2019
남,10대,학생,4,4,2019
남,40대,생산직,6,5,2019
남,50세 이상,무직,4,4,2019
남,20대,생산직,3,0,2019
남,10대,학생,5,4,2019
남,40대,생산직,6,3,2019
남,50세 이상,생산직,5,5,2019
남,50세 이상,무직,5,5,2019
남,40대,생산직,0,5,2019
남,30대,서비스/판매직,5,6,2019
남,50세 이상,생산직,6,6,2019
남,30대,사무직,3,0,2019
남,50세 이상,서비스/판매직,2,0,2019
남,10대,학생,3,4,2019
남,20대,학생,3,3,2019
남,30대,사무직,7,7,2019
남,10대,학생,5,5,2019
남,30대,사무직,6,6,2019
남,50세 이상,서비스/판매직,4,6,2019
남,40대,사무직,0,3,2019
남,40대,생산직,5,5,2019
남,30대,생산직,6,5,2019
남,10대,무직,4,4,2019
남,40대,서비스/판매직,5,5,2019
남,10대,무직,6,6,2019
남,10대,학생,6,4,2019
남,10대,학생,5,4,2019
남,50세 이상,사무직,4,0,2019
남,50세 이상,생산직,3,0,2019
남,30대,생산직,5,4,2019
남,30대,서비스/판매직,5,5,2019
남,40대,서비스/판매직,6,6,2019
