,code,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
0,,,,,,
1,,,,,,
2,181925.0,0.17,3.41,2.45,1.32,0.78
3,,,,,,
4,,,,,,
5,197517.0,0.0,9.0,0.0,0.0,0.0
6,155356.0,0.57,5.72,1.73,0.9,0.34
7,168668.0,0.0,3.46,2.04,1.04,2.35
8,,,,,,
9,,,,,,
10,143776.0,0.0,3.42,2.79,1.5,1.05
11,168735.0,0.0,2.97,1.59,2.46,1.87
12,142683.0,0.1,3.81,2.49,1.36,1.18
13,,,,,,
14,167675.0,0.0,0.0,1.0,0.0,0.0
15,151241.0,0.28,2.92,2.26,0.62,1.08
16,154667.0,0.3,4.34,2.74,1.46,0.45
17,164269.0,0.0,0.0,4.96,2.41,0.0
18,159366.0,0.23,3.02,2.99,1.19,0.26
19,162874.0,0.0,2.31,3.04,1.38,0.57
20,158180.0,0.28,4.3,2.29,1.75,0.65
21,167638.0,0.37,4.79,2.16,1.23,0.52
22,180209.0,0.1,2.35,2.46,1.5,0.68
23,161834.0,0.0,5.0,4.5,0.0,0.0
24,172454.0,0.39,4.7,1.6,0.6,0.22
25,158112.0,0.36,3.13,1.38,1.03,0.43
26,167651.0,0.19,3.54,2.77,1.91,0.71
27,164192.0,0.18,4.46,2.24,1.26,0.56
28,,,,,,
29,143422.0,2.0,4.0,2.5,0.0,0.0
30,130811.0,5.0,2.5,0.0,1.0,0.0
31,,,,,,
32,168749.0,0.82,5.3,1.71,0.34,0.19
33,142210.0,0.0,2.23,1.13,1.96,1.42
34,159892.0,0.28,4.66,2.12,1.4,0.53
35,164150.0,0.0,0.0,0.0,2.0,0.0
36,158191.0,0.38,4.08,2.42,1.69,0.65
37,,,,,,
38,142255.0,0.08,3.49,2.21,1.12,0.47
39,,,,,,
40,,,,,,
41,,,,,,
42,179338.0,0.0,0.0,0.0,9.0,0.0
43,190244.0,0.0,6.7,3.3,0.0,0.0
44,,,,,,
45,,,,,,
46,177332.0,0.0,2.97,2.81,0.0,2.81
47,188765.0,0.72,0.72,3.96,1.89,0.9
48,,,,,,
49,182348.0,0.37,3.63,3.02,1.06,0.98
50,,,,,,
51,181114.0,1.25,4.63,1.42,0.74,0.34
52,183854.0,0.09,3.34,2.72,1.92,0.82
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,191633.0,0.4,1.58,3.6,2.65,0.24
59,,,,,,
60,,,,,,
61,,,,,,
62,189141.0,0.58,4.44,2.21,1.25,0.54
63,192146.0,0.0,2.97,2.31,2.64,0.0
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,10676.0,0.0,3.43,2.48,1.67,0.92
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,164956.0,0.0,6.64,1.36,0.0,0.0
