,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
0,203096.0,,,,,,,,,,
1,17997.0,,,,,,,,,,
2,181925.0,5.08,3.67,4.5,3.25,4.74,3.43,5.1,3.69,5.01,3.62
3,195979.0,,,,,,,,,,
4,138113.0,,,,,,,,,,
5,197517.0,0.0,0.0,9.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0
6,155356.0,3.45,6.13,3.37,6.0,3.27,5.81,3.25,5.79,3.02,5.36
7,168668.0,0.0,0.0,3.9,4.96,4.07,5.18,4.18,5.32,3.7,4.7
8,156023.0,,,,,,,,,,
9,151155.0,,,,,,,,,,
10,143776.0,0.0,0.0,3.42,5.58,3.42,5.58,3.8,6.2,2.66,4.34
11,168735.0,0.0,0.0,1.98,7.02,2.05,7.28,1.94,6.86,1.87,6.63
12,142683.0,2.38,7.12,2.32,6.97,2.15,6.44,2.27,6.82,2.26,6.79
13,199742.0,,,,,,,,,,
14,167675.0,0.0,0.0,0.0,0.0,1.0,0.24,0.0,0.0,0.0,0.0
15,151241.0,2.9,1.85,4.25,2.71,4.45,2.85,4.76,3.04,5.49,3.51
16,154667.0,3.6,6.4,3.32,5.91,3.41,6.05,3.29,5.85,3.27,5.81
17,164269.0,0.0,0.0,0.0,0.0,3.04,4.96,2.41,3.92,0.0,0.0
18,159366.0,1.95,5.55,1.91,5.45,1.99,5.68,2.37,6.75,2.21,6.29
19,162874.0,0.0,0.0,1.7,4.38,2.24,5.76,2.41,6.19,1.77,4.56
20,158180.0,4.15,5.07,4.12,5.03,4.12,5.03,4.14,5.06,4.16,5.09
21,167638.0,3.91,5.41,3.87,5.34,3.78,5.23,3.7,5.11,3.67,5.07
22,180209.0,3.7,6.3,2.63,4.49,2.85,4.84,2.31,3.93,2.52,4.29
23,161834.0,0.0,0.0,5.0,5.0,4.5,4.5,0.0,0.0,0.0,0.0
24,172454.0,4.2,3.58,4.16,3.55,3.92,3.34,3.62,3.09,3.92,3.33
25,158112.0,2.57,3.41,2.58,3.43,2.82,3.73,2.78,3.68,3.05,4.05
26,167651.0,4.24,5.18,4.19,5.13,4.15,5.07,4.09,5.0,3.97,4.85
27,164192.0,5.05,4.14,4.91,4.02,4.74,3.87,4.62,3.78,4.43,3.63
28,171744.0,,,,,,,,,,
29,143422.0,2.0,6.0,2.0,6.0,2.5,7.5,0.0,0.0,0.0,0.0
30,130811.0,10.0,0.9,10.0,0.9,0.0,0.0,4.0,0.36,0.0,0.0
31,195980.0,,,,,,,,,,
32,168749.0,3.38,4.86,3.45,4.97,3.35,4.81,3.46,4.97,3.83,5.5
33,142210.0,0.0,0.0,1.88,3.83,2.2,4.47,2.31,4.69,2.75,5.58
