,old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
3745,11160,Last Chance U,2016-07-29,Series,"['다큐멘터리', '스포츠']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTM407EiCV7L1DteHsziw9t8SQE7pxcnPM_yhd0-OQdhUl3Cu3pr6w8tT_-EA-91M2xFRn74tsr1k9U4nsMwVFQiigAs7lyn-PMW6KpQqJ-ouEi3T1vxB0QclxU.jpg?r=a02,5981.0
457,1760,Three Kingdoms,2008-04-03,Series,"['액션', '드라마', '역사', '전쟁']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABS8CxSoKYmsaHHZvbOpMHQU5V7h9KXc7bpbQRtqikiiVppnz5n0kp19GrZDhgbKbtrSMg8yR4E4a7ZcRvnWgFeTLEg.jpg?r=1c7,6097.0
431,1688,High Score,2020-08-19,Series,"['다큐멘터리', '역사']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,https://occ-0-1489-1490.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTjo0BIv7zUZWxnMOGwP1u1n0h93JH8Duy4zAXF6XzY7PxfYns0fEVHlBLTglFOVwoE7P8JIO8zd5FgGdFuJjAhgz7mu8B8oVEoPsJh1Sd0UFd4r0P4ETTY7xEk.jpg?r=545,6117.0
1453,5285,The Last Czars,2019-07-03,Series,"['다큐멘터리', '드라마', '역사', '로맨스']",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfBOo_P5M0fejNXyerdHrWRzfDB0bs5H33SdqkqpZezk1pijQ29ya4KBfR92hWjS8omENzt3cg5Q5rtxLYnm2wJz30nltIIHggrH-4sub6WXhWnmLDtfnM-JtNY.jpg?r=41f,6309.0
1104,4354,The Confession Killer,2019-12-06,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVuHoxtQYQ7M_mwQLAjae0L0VN2jndj0Eh4-ortTiNOFf443I6QRBth2Jthf814BSUIutfQXuREC72g7xuQVW7IhbML_HtGoPOxUVt4ro6NbE9isCbqLUiBGo8w.jpg?r=535,6395.0
2616,8423,Unsolved,2018-02-27,Series,"['전기', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVuQaG9lcUk9FQkRH_CBBBC8TP42p2DwthJH0MgvITrLe28629ZDlz75QPDyw4R8qd4vm4IGk07g7ZpB7eG78ZcHgb1w2pNK5qcCuicf_HPyskOT_xdbd58pzXk.jpg?r=5e1,6439.0
2112,6904,Patriot Act with Hasan Minhaj,2018-10-28,Series,"['코미디', 'news', '토크쇼']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUcReXnb5fd3GpjK9uQ-Mam2tBJ2d_Ego71Ewxghq9w28FeUyEH6-XX1ZS-l96xezkR-ZW7JBkQVfJHoZrP4sDbL1LZQHSIu40iY4-4UEd3IQYerY8Lp6peuvvs.jpg?r=317,6538.0
3315,10036,Bill Nye Saves the World,2017-04-21,Series,"['코미디', '토크쇼']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSASlnTrsLaK2iQ_d38-iTf7bQ2-vmSQGiEmFh_htNEyiNhZi0MzChfjBqE2aD4xDq009xNOoJchMLXVdin4rYN75d12n6DdKTo3GTDJevLbKDOr4Dji-98-S5Y.jpg?r=214,6656.0
1993,6601,Sunderland Til I Die,2018-12-14,Series,"['다큐멘터리', '스포츠']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdplADm8CKDvnYFD9NZ-u0BqpB2qSV5YyIxn3JSTtQEDV-shDXP8tfLfT-YmCL9ldFPKDzBcWqznEt1ZG0dYhQ5l_rA5-pqtU8N_sDd9gbZFQogLqNSrPFJZkvY.jpg?r=e27,6706.0
4158,12697,Explained,2018-05-23,Series,['다큐멘터리'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZyRlILXpjH65ZMcrU1LHDObUQLj7abxLnxCKIC7EIiGmKBWrSBMId1w1po5aEzqfbxX2gfRgi__4FkvM5-BeFxNPSWvD2qGp_mWcdA7uOyLg0Cx94vWSmYiNas.jpg?r=92f,6882.0
